('2017-05-09 23:58:33', 'RT @futuresoption: 15 of Steve #Jobs most inspiring quotes https://t.co/LwBCcVdA2H $AAPL')
('2017-05-09 23:58:23', 'RT @BK_Stocks: $MRNJ 58M bid support 😮, she ready 🚀! $BKD $AMLH $ELED $MMEX $SPY $DOLV $ENRT $AAPL $NXTD $ASTI $DBMM $CBIS $SING #mondaymot…')
('2017-05-09 23:57:27', 'RT @naomihn2000: LOL...real life reality "Apprentice"...u r fired. Will AMERICA fire/convict @realDonaldTrump @POTUS? \n$SPY $SPX $WTI $CHK…')
('2017-05-09 23:57:26', 'https://t.co/eNPhQGvYSD &lt; Do you want to read my Jason Bond Picks Review? I made $50K profits! $iep $aapl $fb $spy $amzn $amzn')
('2017-05-09 23:55:23', 'Screen through high rated articles for US Tech Kings at once $AAPL $GOOG $FB https://t.co/l3Lv2AAjzE https://t.co/0qD9Vd9GQd')
('2017-05-09 23:54:18', 'RT @brent_whiteside: $evsv .0003 on the move, was .0008 recently\n$BKD $AMLH $ELED $MMEX $SPY $DOLV $ENRT $AAPL $NXTD $ASTI $DBMM $CBIS $SING')
('2017-05-09 23:52:41', 'RT @MacHashNews: Apple Sends out Press Invites to WWDC 2017 https://t.co/4J3ivpHpyN #PatentlyApple $AAPL https://t.co/IVUvjR1LQC')
('2017-05-09 23:50:13', 'RT @scottbudman: Apple value:\n$10 Billion 1999\n$100 B 2007\n$200 B 2010\n$300 B 2011\n$400 B 1/2012\n$500 B 2/2012\n$600 B 9/2012\n$700 B 2015\n$8…')
('2017-05-09 23:49:08', 'RT @jimcramer: The $AAPL revenue steam from services has been underestimated by so many.. Big mistake..')
('2017-05-09 23:48:53', 'RT @treabase: $AAPL #patent 9,646,422: Method for representing points of interest in a view o... https://t.co/7m2KS3eFEc #tech #IP https://…')
('2017-05-09 23:48:16', '$AAPL:\n\nApple Pushes Into Analyzing Your Sleep With Beddit Acquisition:\n\nhttps://t.co/GdvInUDbzr')
('2017-05-09 23:48:03', "RT @StockTwits: If Forrest Gump is still holding his Apple stock, he's up about 35,000% on his initial investment: https://t.co/HOddSz111R…")
('2017-05-09 23:46:21', 'RT @futuresoption: 15 of Steve #Jobs most inspiring quotes https://t.co/LwBCcVdA2H $AAPL')
('2017-05-09 23:45:22', 'RT @patercm: New 52 wk high:\nApple Computer\n$AAPL 154.88')
('2017-05-09 23:45:22', 'RT @GIR_MARKETS: $NVDA Weakness gets bought just like $TSLA $AAPL $NFLX')
('2017-05-09 23:45:18', 'RT @BK_Stocks: $MRNJ 58M bid support 😮, she ready 🚀! $BKD $AMLH $ELED $MMEX $SPY $DOLV $ENRT $AAPL $NXTD $ASTI $DBMM $CBIS $SING #mondaymot…')
('2017-05-09 23:45:16', 'LOL...real life reality "Apprentice"...u r fired. Will AMERICA fire/convict @realDonaldTrump @POTUS? \n$SPY $SPX $WTI $CHK $VRX $AAPL')
('2017-05-09 23:45:14', 'RT @MarketSmith: Stock Futures Fall: Top Apple, Tesla Plays Soar On Earnings; Snap On Tap https://t.co/6GlHfrCl1o $NVDA $TSLA $AAPL $SNAP $…')
('2017-05-09 23:44:44', 'Stock Futures Fall: Top Apple, Tesla Plays Soar On Earnings; Snap On Tap https://t.co/6GlHfrCl1o $NVDA $TSLA $AAPL $SNAP $DIS $BIDU $YELP')
('2017-05-09 23:44:44', 'Stock Futures Fall: Top Apple, Tesla Plays Soar On Earnings; Snap On Tap https://t.co/AEDbP6ZCFN $NVDA $TSLA $AAPL $SNAP $DIS $BIDU $YELP')
('2017-05-09 23:43:12', '$AAPL #patent 9,646,422: Method for representing points of interest in a view o... https://t.co/7m2KS3eFEc #tech #IP https://t.co/4DSmEEbWYU')
('2017-05-09 23:43:05', 'The emerging business of Apple that nobody notices. $AAPL https://t.co/zph9zIFO0o')
('2017-05-09 23:40:57', 'RT @brent_whiteside: $evsv .0003 on the move, was .0008 recently\n$BKD $AMLH $ELED $MMEX $SPY $DOLV $ENRT $AAPL $NXTD $ASTI $DBMM $CBIS $SING')
('2017-05-09 23:40:30', 'RT @traderstewie: While everyone is talkin $AAPL, $AMZN and $GOOGL.\n\n$BABA is quietly ripping higher. \nPosting this chart only to show you…')
('2017-05-09 23:39:06', '$AAPL Becomes First U.S. Company to Top $800 Billion Value https://t.co/3DmFDeVVId via @technology')
('2017-05-09 23:37:39', 'Dow Down 36, $AAPL $AMZN $TSLA $NFLX $NVDA $BABA $FB $TWTR https://t.co/UQiP1Xu9FJ')
('2017-05-09 23:35:07', 'RT @BK_Stocks: $MRNJ vol alert, from 8M to 23M in 15 mins! $BKD $AMLH $ELED $MMEX $SPY $DOLV $ENRT $AAPL $NXTD $ASTI $DBMM $CBIS $SING #mon…')
('2017-05-09 23:34:00', 'Went all in short on $AAPL doji. #YOLO')
('2017-05-09 23:33:59', 'Dow drops 36 as Nasdaq powers to record. $AAPL $AMZN $TSLA lead the bulls. https://t.co/oVfBaxDycg')
('2017-05-09 23:32:11', 'FBI.... Schumer.... all time highs.... where will I be safe from risk?\n$AAPL')
('2017-05-09 23:30:45', 'RT @OptiontradinIQ: Charts I’m Watching - https://t.co/8X8kRI0uwM   $VXX $SPX $GLD $FCX $AAPL $AMZN $SLV $VXX $WTIC $USO')
('2017-05-09 23:30:00', 'RT @futuresoption: 15 of Steve #Jobs most inspiring quotes https://t.co/LwBCcVdA2H $AAPL')
('2017-05-09 23:29:21', 'New 52 wk high:\nApple Computer\n$AAPL 154.88')
('2017-05-09 23:27:15', '$NVDA Weakness gets bought just like $TSLA $AAPL $NFLX')
('2017-05-09 23:25:12', "RT @Br3tt_layt0n: Join @RobinhoodApp and we'll both get a share of stock like $AAPL, $F, or $S for free. Make sure to use my link.\n\nhttps:/…")
('2017-05-09 23:22:10', 'RT @brent_whiteside: $evsv .0003 on the move, was .0008 recently\n$BKD $AMLH $ELED $MMEX $SPY $DOLV $ENRT $AAPL $NXTD $ASTI $DBMM $CBIS $SING')
('2017-05-09 23:20:27', 'RT @SharePlanner: How To Be A Trader: 3 Strategies To Make You Profitable - SharePlanner $NVDA $AAPL $FB $AMZN #wallstreet #finance  https:…')
('2017-05-09 23:19:56', '$ACIA look at $AAPL $NVDA $TSLA $NFLX all had bullish cycles &amp; prices went up. Price follows the cycle, just like options follow the auction')
('2017-05-09 23:18:10', "$aapl buys a sleep tracking company? Just shows how Cook doesn't know what the hell he's doing with the cash.")
('2017-05-09 23:17:41', "Join @RobinhoodApp and we'll both get a share of stock like $AAPL, $F, or $S for free. Make sure to use my link.\n\nhttps://t.co/GN35vl9OnS")
('2017-05-09 23:17:08', 'RT @optioncharts: $AAPL maturity 05/12/2017 Vol PutCallRatio of 0.49 puts=86,560 calls=176,683 . https://t.co/VzwNrADAgi https://t.co/f12LP…')
('2017-05-09 23:16:17', "RT @bespokeinvest: Here's a look at our Dow 30 trading range screen.  Apple $AAPL pushing 3 standard deviations above 50-DMA: https://t.co/…")
('2017-05-09 23:15:04', '$VIX $IBM $YELP $AAPL $AGN:\n\nVIX Still Matters, So Don’t Look Away: Cramer’s ‘Mad Money’ Recap …:\n\nhttps://t.co/yr2KcFpf8X')
('2017-05-09 23:14:36', '@Guruleaks1 @RJB_trading2 @timothysykes @super_trades @JasonBondPicks Lolz slab city what a bunch of clowns, Mr. Guru $FB $AAPL $TSLA')
('2017-05-09 23:13:12', '$AAPL #patent 9,646,318: Updating point of interest data using georeferenced tr... https://t.co/B0J1syF1VZ #tech #IP https://t.co/pDXhpXdemG')
('2017-05-09 23:12:14', "I own $MFA $SLRC and $DTQ and thus, I'm all-in \U0001f920dividend stocks.  Go ahead and buy $AAPL, $TSLA $AMZN The hyped correction is a year away.")
('2017-05-09 23:11:35', 'RT @traderstewie: While everyone is talkin $AAPL, $AMZN and $GOOGL.\n\n$BABA is quietly ripping higher. \nPosting this chart only to show you…')
('2017-05-09 23:10:35', "RT @Hedgeye: Having a bad day? In 1976 Ron Wayne sold his 10% stake in $AAPL for $800. It's worth over $81 billion today. Get over it. http…")
('2017-05-09 23:08:17', 'no chance that happens $AAPL https://t.co/chAofmovfT')
('2017-05-09 23:06:59', '$aapl\nDown .50 AH on news Comey is going to spill the beans on how to break into iPhones.')
('2017-05-09 23:06:49', '@PolluxTechnical And I totally get why $AAPL made the investment they did and what they hoped to gain in the future.')
('2017-05-09 23:06:46', 'Just had 2 sign up for #robinhood today and received $AAPL and $SIRI! 🆓 @RobinhoodApp 🙌🏾💸\n\nYou\nGet\nFree\nStock\n\n1 fo… https://t.co/nlV4b6kda8')
('2017-05-09 23:06:30', 'RT @BK_Stocks: $MRNJ vol alert, from 8M to 23M in 15 mins! $BKD $AMLH $ELED $MMEX $SPY $DOLV $ENRT $AAPL $NXTD $ASTI $DBMM $CBIS $SING #mon…')
('2017-05-09 23:06:26', 'RT @sharkbiotech: $AAPL accounts for 102% of the #DJI gain this year')
('2017-05-09 23:05:01', 'RT @futuresoption: 15 of Steve #Jobs most inspiring quotes https://t.co/LwBCcVdA2H $AAPL')
('2017-05-09 23:04:48', '$AAPL maturity 05/12/2017 Vol PutCallRatio of 0.49 puts=86,560 calls=176,683 . https://t.co/VzwNrADAgi https://t.co/f12LPIsYDS')
('2017-05-09 23:02:18', 'Apple Inc. $AAPL Insider Angela J. Ahrendts Sells 75,000 Shares https://t.co/rV6RVvJ6f6')
('2017-05-09 23:01:40', 'RT @ArgentArts: Beekeepers\nPieter #Bruegel the Elder Carved #iPhone7 #Case\n\nhttps://t.co/CDbOnu7Htm\n\n#iphonecase #art $AAPL https://t.co/U4…')
