('2017-04-12 15:58:24', 'Apple Inc. $AAPL Expected to Announce Quarterly Sales of $52.61 Billion https://t.co/6lP2GamBnJ')
('2017-04-12 15:58:20', '$SNAP who is holding this up? more importantly why is this being held up? $FB $AAPL $TSLA $QQQ $SPY $TWTR')
('2017-04-12 15:52:06', '$AAPL..nibbled on 141calls at 66c...Should double by tomorrow https://t.co/Y0iKZzah4x')
('2017-04-12 15:50:15', 'Clips could be Appleâ€™s most addictive content creation app ever $AAPL $FB $TWTR $GOOG $SNAP $TSLA $AMZN $PLUG $F\n\n https://t.co/bcW45nC590')
('2017-04-12 15:49:52', 'Okay $AAPL new lows now we have some fun. 233.34 in play on $SPY.')
('2017-04-12 15:48:12', 'RT @ElixiumCrypto: #Trading with #Bitcoin\n\nhttps://t.co/O2OJksMa3p \n\n@ElixiumBitcoin #Forex #Stocks $ES $CL $GC $GOOG $AAPL $TSLA $SPY $QQQâ€_')
('2017-04-12 15:46:54', 'What Can We Expect from Apple in Fiscal 2Q17? https://t.co/m57zrySMQa $AAPL $SPX-INDEX $SPY')
('2017-04-12 15:45:30'," ""Which is a Better Buy - Apple's iPhone 7 or Samsung S8?\n https://t.co/2JaiKXoHfu $AAPL $SSNLF"")"
('2017-04-12 15:43:55', '@waltmossberg retiring?  $AAPL must be a top here.')
('2017-04-12 15:43:10', 'Goldman Sachs Group Inc Analysts Give Apple Inc. $AAPL a $150.00 Price Target https://t.co/MCWNtRMB6z')
('2017-04-12 15:41:12', 'Google founders reveal 6 secrets to becoming a billionaire $GOOG $AAPL $FB $TWTR $SNAO $TSLA $AMZN $PLUG $MMEX \n\n https://t.co/SwGJgw4TOA')
('2017-04-12 15:41:06', 'RT @cheddar: Apple could move away from multiple suppliers. Is this the right move for the iPhone maker? @fredmcclimans weighs in. #Cheddarâ€_')
('2017-04-12 15:40:49', '$AAPL #patent 9621096: Current recycling voice-coil-motor (VCM) driver circuit https://t.co/WLIBDqtz7x #tech #IP https://t.co/ScHiIkZhzU')
('2017-04-12 15:40:35', 'Apple given $150.00 PT by Goldman Sachs Group Inc. buy rating. https://t.co/L6v3M3qO0D $AAPL #AAPL')
('2017-04-12 15:39:19', '$AAPL do or die 141.30')
('2017-04-12 15:38:59'," 'RT @stockerblog: ""Things don\'t have to change the world to be important."" \n~ Steve Jobs Apple Co-founder $AAPL\n#quote offered by https://tâ€_')"
('2017-04-12 15:38:54', 'Apple given $150.00 PT by Goldman Sachs Group Inc. buy rating. https://t.co/WW7fGmMc6z $AAPL #AAPL')
('2017-04-12 15:38:08', 'This article suggested $GAIN as a buy yesterday! Look at it today! $SPY $QCOM $UAL $TSLA $AAPL $JNUG $X $BBRY $JDST https://t.co/tkGvgwby7i')
('2017-04-12 15:38:04', 'Morning Coffee - CGWM (Feat. $BGM $BBD $EMH $H $IAN $OSK $TRAK
('2017-04-12 15:38:03', '$AAPL $QCOM:\n\nBlackBerry will likely spend surprise $814.9 million arbitration award â€_:\n\nhttps://t.co/HXCP6HAI3W')
('2017-04-12 15:37:41', 'In our tech roundup we cover recent news from Twitter Apple and Microsoft. $MSFT $TWTR $AAPL $FB $INTC https://t.co/wLypThuKAK')
('2017-04-12 15:35:23', '$AAPL Greenlight says GM misrepresented stock plan nominates directors https://t.co/ByhuQWNBSs')
('2017-04-12 15:33:26', 'How to check your iPhone battery percentage from Mac https://t.co/Ytwyy3RUeA #9to5Mac $AAPL https://t.co/EUtD6Vc0B9')
('2017-04-12 15:33:02'," '""Things don\'t have to change the world to be important."" \n~ Steve Jobs Apple Co-founder $AAPL\n#quote offered by https://t.co/syABYAUJ67')"
('2017-04-12 15:32:46', 'RT @barronsonline: Apple: Whoâ€™s Chips Will They Dump Next? Asks Pac Crest https://t.co/3bLI4KPqjb $AAPL $IGZ $SWKS $QRVO $CRUS $SYNA via @bâ€_')
('2017-04-12 15:30:57', 'RT @barronsonline: Apple: Whoâ€™s Chips Will They Dump Next? Asks Pac Crest https://t.co/3bLI4KPqjb $AAPL $IGZ $SWKS $QRVO $CRUS $SYNA via @bâ€_')
('2017-04-12 15:30:08', 'Code Unlock on #Apple $AAPL #iPhone #LG #Samsung #ZTE #MetroPCS #ATT #Tmobile #Cricket Save Money #unlock #Code Codeunlock')
('2017-04-12 15:29:07', 'RT @barronsonline: #BlackBerry Surges 17% on Award of $815M from #Qualcomm https://t.co/oTyxn9VL7g $BBRY $QCOM $AAPL via @barronstechblog hâ€_')
('2017-04-12 15:28:16', '3 Reasons Why Apple Is Still a Top Buy $AAPL $MSFT $FB - https://t.co/C6wplOr4Vc')
('2017-04-12 15:27:53', 'The Morning Dump - #Bixby #PR #China #Factory $AAPL $SNAP $MSFT #security $QCOM $FIT #wearable https://t.co/7vlFZehJD5')
('2017-04-12 15:26:31', '3 Reasons Why Apple Is Still a Top Buy $AAPL $MSFT $FB - https://t.co/23V5FSv3U7')
('2017-04-12 15:25:41', 'Latest Twitter sentiment on $AAPL stock: https://t.co/Mi62bhEL7V')
('2017-04-12 15:25:32', 'RT @ArjunKharpal: Indiaâ€™s smartphone market is seeing a huge shift but Apple might not see the benefits for at least 2 years https://t.co/Nâ€_')
('2017-04-12 15:23:29', 'barronsonline: #BlackBerry Surges 17% on Award of $815M from #Qualcomm https://t.co/htKHn2Vm5E $BBRY $QCOM $AAPL â€_ https://t.co/ySaJ8nWslP')
('2017-04-12 15:23:28', 'barronsonline: Apple: Whoâ€™s Chips Will They Dump Next? Asks Pac Crest https://t.co/gCKR3SKhIm $AAPL $IGZ $SWKS $Qâ€_ https://t.co/b389lrRoD7')
('2017-04-12 15:23:14', '#BlackBerry Surges 17% on Award of $815M from #Qualcomm https://t.co/oTyxn9VL7g $BBRY $QCOM $AAPL viaâ€_ https://t.co/NeI9MTHQiy')
('2017-04-12 15:22:54', 'Facebook reaps big rewards and small businesses spend more online $FB $TWTR $AAPL $GOOG $AMZN $SNAP $PLUG $F $TSLA\n\n https://t.co/v4VFJJGPvO')
('2017-04-12 15:22:23', '$AAPL down a fraction means not a lot of selling currently.')
('2017-04-12 15:21:34', 'RT @barronsonline: Apple: Whoâ€™s Chips Will They Dump Next? Asks Pac Crest https://t.co/3bLI4KPqjb $AAPL $IGZ $SWKS $QRVO $CRUS $SYNA via @bâ€_')
('2017-04-12 15:19:40', 'PC shipments stabilizing with HP making a rally $HPQ $AAPL $DVMT #tech #Retail #stocks #Finance  https://t.co/v3qugGM7d1')
('2017-04-12 15:18:38', 'Apple: Whoâ€™s Chips Will They Dump Next? Asks Pac Crest https://t.co/3bLI4KPqjb $AAPL $IGZ $SWKS $QRVO $CRUS $SYNA vâ€_ https://t.co/cnu5vMfgRm')
('2017-04-12 15:14:51', 'RT @treabase: $AAPL #patent 9621016: Flat coil assembly for Lorentz actuator mechanism https://t.co/RzpJBdSY5L #tech #IP https://t.co/6deâ€_')
('2017-04-12 15:14:17', 'Looks like #Fitbit facing issues with #smartwatch development -\n $FIT #Pebble $AAPL #AppleWatch $GOOG #AndroidWear https://t.co/bzS2eIkdq5')
('2017-04-12 15:14:08', 'Track curated news and tweets for multiple tickers - US Tech Giants https://t.co/J74uV6qAnD $AAPL $GOOGL $MSFT $FB')
('2017-04-12 15:12:23'," ""Samsung Galaxy S8 will sell well. But this year's iPhone will sell really well and $AAPL will take home the most profits in the industry."")"
('2017-04-12 15:11:24'," ""RT @barronstechblog: Apple: Whose Chips Will They Dump Next? Asks Pac Crest - Tech Trader Daily - Barron's $AAPL $DLG $SYNA $CRUS $SWKS httâ€_"")"
('2017-04-12 15:10:49', '$AAPL #patent 9621016: Flat coil assembly for Lorentz actuator mechanism https://t.co/RzpJBdSY5L #tech #IP https://t.co/6deTs1qmIq')
('2017-04-12 15:10:47'," ""RT @finzine: $AAPL Apple's next iPhone is set to be a blowout in China analyst says https://t.co/0bXAxMeZ1w"")"
('2017-04-12 15:10:35'," ""Looks like #Samsung's #Bixby #voiceAssistant will not ship with #GalaxyS8 - $GOOG #Alexa #Siri $AAPL $AMZN https://t.co/xu330UimKR"")"
('2017-04-12 15:10:21', 'RT @ElixiumCrypto: #Trading with #Bitcoin\n\nhttps://t.co/O2OJksMa3p \n\n@ElixiumBitcoin #Forex #Stocks $ES $CL $GC $GOOG $AAPL $TSLA $SPY $QQQâ€_')
('2017-04-12 15:05:01', '$BBR  BlackBerry Awarded $814.9 Million in Arbitration Against Qualcomm  $VZ $TMUS $S $CMCSA $GOOGL $AMT $AAPL $AMT')
('2017-04-12 15:04:56'," ""$AAPL Apple's next iPhone is set to be a blowout in China analyst says https://t.co/0bXAxMeZ1w"")"
('2017-04-12 15:04:51', 'RT @cheddar: Apple could move away from multiple suppliers. Is this the right move for the iPhone maker? @fredmcclimans weighs in. #Cheddarâ€_')
('2017-04-12 15:03:53', 'RT @cheddar: Apple could move away from multiple suppliers. Is this the right move for the iPhone maker? @fredmcclimans weighs in. #Cheddarâ€_')
('2017-04-12 15:02:44', 'RT @musingcogitator: Wall Street Breakfast: Safe Havens Maintain Gains As Diplomacy Churns https://t.co/Sx7Jmeyk9I $SPY $QQQ $AAPL $AMZNâ€_')
('2017-04-12 15:00:35', 'Apple could move away from multiple suppliers. Is this the right move for the iPhone maker? @fredmcclimans weighs iâ€_ https://t.co/c7KXpXvGl5')
('2017-04-12 15:00:30', 'A Simple Day Trading Strategy/PRB https://t.co/DJHmxfxWXQ via @YouTube #Trading #Stocks #Options #Success $AAPL $FB $AMZN $TWTR $GS $GM $F')
('2017-04-12 14:59:42', 'RT @talkingmoose_: Every company that uses #h1b has questionable stock valuation. #techBubble $INTC $GOOG $MSFT $IBM $QCOM $NVDA $AAPL $AMZâ€_')
('2017-04-12 14:58:18', 'Every company that uses #h1b has questionable stock valuation. #techBubble $INTC $GOOG $MSFT $IBM $QCOM $NVDA $AAPLâ€_ https://t.co/Dnc2xyKKzF')
('2017-04-12 14:58:04', '$AAPL $AP:\n\nAppleâ€™s next iPhone is set to be a blowout in China analyst says:\n\nhttps://t.co/50ITjjZMGH')
('2017-04-12 14:58:01'," ""âœ“ The @macworld Wish list: What we'd like to see in a new iMac â˜_ https://t.co/aXUOsgY1h0\n#Apple $AAPL"")"
('2017-04-12 14:57:11', 'Samsung Tops Smartphone Shipments Chart in Q1 due to Flooding the Market with Massive Low-Endâ€_â€_ https://t.co/FhO6Vd5HCv')
('2017-04-12 14:56:37', 'RT @ElixiumCrypto: #Trading with #Bitcoin\n\nhttps://t.co/O2OJksMa3p \n\n@ElixiumBitcoin #Forex #Stocks $ES $CL $GC $GOOG $AAPL $TSLA $SPY $QQQâ€_')
('2017-04-12 14:56:29', 'Fitbit (FIT) Shares Down More Than 3% on Watch Launch Delay https://t.co/XFY3Y8VNuW $FIT $AAPL $GOOG $GOOGL https://t.co/ZD8566WEpS')
('2017-04-12 14:53:51', 'RT @Ascend_Trading: New user interface COMING IN NEXT WEEKS! $0 limit orders! FREE demo: https://t.co/r9bJIBHuVz   $SPY $QQQ $AAPL $TWTR $Fâ€_')
('2017-04-12 14:52:52', '$snap who are these smarties buying at 20.50 again? feels forced and only pops when volume drops.. $FB $SPY $qqq $TSLA $AAPL')
('2017-04-12 14:52:33', 'RT @ExactOptionPick: Ready for earnings trades like our $SQ calls &amp; $C Puts? FREE OPTION TRADES.  \n\nhttps://t.co/78FVQDKYyw\n$NFLX  $AMZN $Gâ€_')
('2017-04-12 14:52:33', 'RT @ExactOptionPick: Ready for earnings trades like our $SQ calls &amp; $C Puts? FREE OPTION TRADES.  \n\nhttps://t.co/78FVQDKYyw\n$NFLX  $AMZN $Gâ€_')
('2017-04-12 14:52:21', 'Ready for earnings trades like our $SQ calls &amp; $C Puts? FREE OPTION TRADES.  \n\nhttps://t.co/78FVQDKYyw\n$NFLX  $AMZN $GS $BABA $TSLA $AAPL')
('2017-04-12 14:52:18', 'RT @ElixiumCrypto: #Trading with #Bitcoin\n\nhttps://t.co/O2OJksMa3p \n\n@ElixiumBitcoin #Forex #Stocks $ES $CL $GC $GOOG $AAPL $TSLA $SPY $QQQâ€_')
('2017-04-12 14:51:21', 'Qualcomm: Little To Fear In The Long Term https://t.co/gWD58V2BKA $AAPL #APPLE $INTC $NXPI $QCOM')
('2017-04-12 14:50:08', 'RT @Ascend_Trading: New user interface COMING IN NEXT WEEKS! $0 limit orders! FREE demo: https://t.co/r9bJIBHuVz   $SPY $QQQ $AAPL $TWTR $Fâ€_')
('2017-04-12 14:49:59', '3 Stocks (Monopolies) That AreImpossible To Short $AAPL $GOOG $GOOGL $FB $AMZN $CI $ANTM $HUM $AET $NFLX $MSFT $YHOO https://t.co/fObyq2A9rl')
