('2017-04-26 23:55:56', '04/26/17 Volume Leader #36 - AAPL 2031301 Apple Inc $AAPL 143.68 -0.85 -0.59% High today of 144.60 day low  https://t.co/QWosYAmVq5')
('2017-04-26 23:53:52', '.@NaviAvatar1 on #Periscope: Dow Down 21 points $AAPL $AMZN $TWTR $TSLA $NFLX $FB $CMG https://t.co/iQpQszlNWp')
('2017-04-26 23:51:24', 'RT @PrivateCapBlog: iPhone To Be Squeezed In All Chinese Market Segments In 2017 $AAPL https://t.co/uy92h84eEP')
('2017-04-26 23:51:24'," ""RT @jusjay0_0: Join @RobinhoodApp and we'll both get a share of stock like $AAPL $F or $S for free. Make sure to use my link.\n\nhttps://t.â€_"")"
('2017-04-26 23:51:24', 'RT @OMaxInvestments: Possible $FB $TWTR pair trade as $FB made a STwhich may translate2LThigh2day- $AAPL ok $QQQ subject2weakness2 $IBB râ€_')
('2017-04-26 23:51:24', 'RT @MacHashNews: How to find out your Uber rating https://t.co/PAvLxqdU0j #Macworld $AAPL https://t.co/xPgdZhbaK0')
('2017-04-26 23:51:24', 'RT @CapitalHInvest: Apple $AAPL now a trillion dollar company in AUD.')
('2017-04-26 23:46:32', 'Market Commentary For Thur Apr 27 - $SAM $X $TSLA $TWTR $GS $STX $IBM
('2017-04-26 23:46:26'," ""RT @RedDogT3: Today's free recap and look ahead $spx $spx $iwm $aapl $amzn $insy $auph $xle $uwt  https://t.co/MbQ9E76gsH"")"
('2017-04-26 23:45:58'," 'RT @seeitmarket: NEW Blog:  ""Apple Stock Chart Update: Price Nearing $152 Target"" - https://t.co/o9nN8zVGk7  by @TheFibDoctor\n$AAPL')"
('2017-04-26 23:44:42'," ""RT @appleinsider: Editorial: A very false narrative: Samsung Galaxy S8 vs Apple's iPhone @danieleran $AAPL https://t.co/ijghJTNMmw https://â€_"")"
('2017-04-26 23:42:31', 'Apple services will likely to top $7 billion this quarter: https://t.co/iIN7ywLCar $aapl')
('2017-04-26 23:39:27'," ""Join @RobinhoodApp and we'll both get a share of stock like $AAPL $F or $S for free. Make sure to use my link.\n\nhttps://t.co/YMptxmmoCa"")"
('2017-04-26 23:36:13', 'Dow Down 21 points $AAPL $AMZN $TWTR $TSLA $NFLX $FB $CMG https://t.co/3ZOeqqrf52')
('2017-04-26 23:28:51'," ""Join @RobinhoodApp and we'll both get a share of stock like $AAPL $F or $S for free. Make sure to use my link.\n\nhttps://t.co/f8Sq1PWgXA"")"
('2017-04-26 23:26:27', '#Stocks #Traders LEARN The 6 Individual Components of the #Ihcimoku Cloud using $AAPL Chart &gt;&gt; #Trading Help &gt;&gt;&gt;â€_ https://t.co/I6sJI7smO5 â€_')
('2017-04-26 23:26:05'," ""Slickwraps Retro Case protects your iPhone like it's 1984 https://t.co/wC4yF2NBbD #AppleWorldToday $AAPL https://t.co/cWmunY0yxv"")"
('2017-04-26 23:25:05', 'Two tech titans.... which is the better buy for investors though? $GOOG $GOOGL $AAPL https://t.co/5LEm4ho243')
('2017-04-26 23:23:58'," ""Join @RobinhoodApp and we'll both get a share of stock like $AAPL $F or $S for free. Make sure to use my link.\n\nhttps://t.co/Q9WWDlJBxc"")"
('2017-04-26 23:20:09', '#Stocks #Traders LEARN The 6 Individual Components of the #Ihcimoku Cloud using $AAPL Chart &gt;&gt; #Trading Help &gt;&gt;&gt;â€_ https://t.co/sq3tFXMVnV')
('2017-04-26 23:20:07', '#Stocks #Traders LEARN The 6 Individual Components of the #Ihcimoku Cloud using $AAPL Chart &gt;&gt; #Trading Help &gt;&gt;&gt;â€_ https://t.co/M7e9jOa8Bg')
('2017-04-26 23:19:34', '$AMD Superior Performance APUs will cause $AAPL to Switch to AMD from $INTC https://t.co/GPmbazVVSS https://t.co/LvRZGJ2D90')
('2017-04-26 23:18:56', 'Stock Market Wizards by Jack D. Schwager: https://t.co/Cg7WDWpKtS $SPY $AAPL $TSLA #trading #stockmarket')
('2017-04-26 23:18:02'," ""Join @RobinhoodApp and we'll both get a share of stock like $AAPL $F or $S for free. Make sure to use my link.\n\nhttps://t.co/oh75DPoLkf"")"
('2017-04-26 23:15:57', 'Apple Inc. $AAPL PT Raised to $165.00 at JPMorgan Chase &amp; Co. https://t.co/oH5GBIVkd0')
('2017-04-26 23:13:00', '$aapl iPhone once again losing in China. Not good for future share and earnings.')
('2017-04-26 23:12:50'," ""Interesting promo! Join @RobinhoodApp &amp; we'll both get a share of stock like $AAPL $F or $S for free. Use my link.\nhttps://t.co/57gEWTqMM6"")"
('2017-04-26 23:11:55', 'iPhone To Be Squeezed In All Chinese Market Segments In 2017 $AAPL https://t.co/uy92h84eEP')
('2017-04-26 23:10:24', 'FBN Securities Analysts Give Apple Inc. $AAPL a $155.00 Price Target https://t.co/xhPLR7vieK')
('2017-04-26 23:06:52', 'RT @SeekingAlpha: iPhone To Be Squeezed In All Chinese Market Segments In 2017 https://t.co/3tDnQOVGSJ $BABA $JD $AAPL')
('2017-04-26 23:05:29'," ""Join @RobinhoodApp and we'll both get a share of stock like $AAPL $F or $S for free. Make sure to use my link.\n\nhttps://t.co/vqQlFRMauI"")"
('2017-04-26 23:03:54'," ""RT @cheddar: As speculation swirls about new iPhones @imore's @settern says to be wary of delay rumors. #CheddarLIVE $AAPL https://t.co/GGâ€_"")"
('2017-04-26 23:02:04'," ""RT @sergioangon: Join @RobinhoodApp and we'll both get a share of stock like $AAPL $F or $S for free. Make sure to use my link.\n\nhttps://â€_"")"
('2017-04-26 23:00:35', 'Possible $FB $TWTR pair trade as $FB made a STwhich may translate2LThigh2day- $AAPL ok $QQQ subject2weakness2 $IBB remains as super value.')
('2017-04-26 23:00:00', '$IWM was the big recommendation by @cnbc all that chart work lets see what hapens I will CHART it for you. NPâ€_ https://t.co/wdw4M4XcDd')
('2017-04-26 22:54:42', 'FREE REPORT\n#Equity #investment #HedgeFunds reducing #Apple $AAPL and increasing #microsoft $MSFTâ€_ https://t.co/LedVdPoIgQ')
('2017-04-26 22:54:10', 'How to find out your Uber rating https://t.co/PAvLxqdU0j #Macworld $AAPL https://t.co/xPgdZhbaK0')
('2017-04-26 22:53:36', 'Apple $AAPL now a trillion dollar company in AUD.')
('2017-04-26 22:51:50', 'iPhone To Be Squeezed In All Chinese Market Segments In 2017 $AAPL #Apple #iphone #stocks #Finance #China #Retail  https://t.co/zhf7zmttoH')
('2017-04-26 22:51:09', 'RT @CFinancialNews: Appleâ€™s $AAPL Neutral Rating Reaffirmed at Rosenblatt Securities https://t.co/xQuzUFbuiP')
('2017-04-26 22:51:09'," ""RT @TheRealPicaso: Join @RobinhoodApp and we'll both get a share of stock like $AAPL $F or $S for free. Make sure to use my link.\n\nhttps:â€_"")"
