('2017-04-20 23:54:42', 'RT @MindMakesMatter: $AAPL\nFinal one tonight\nForced to update the map for this\ncoil eradicated\nlow not taken \nB - Form and fibs placed http…')
('2017-04-20 23:53:55', '$SPY $DIA $QQQ $IWM looks like they cured cancer today.glad i took this week off,sum sweet short setups into earningz in May $FB $AAPL $TSLA')
('2017-04-20 23:48:10', 'RT @ElixiumCrypto: #Trading with #Bitcoin\n\nhttps://t.co/O2OJksMa3p\n\n@ElixiumBitcoin #Forex #Stocks $ES $CL $GC $GOOG $AAPL $TSLA $SPY $QQQ…')
('2017-04-20 23:46:06', 'RT @ElixiumCrypto: #Trading with #Bitcoin\n\nhttps://t.co/O2OJksMa3p\n\n@ElixiumBitcoin #Forex #Stocks $ES $CL $GC $GOOG $AAPL $TSLA $SPY $QQQ…')
('2017-04-20 23:44:52', 'RT @racernic: $AAPL as if nothing happened :-) https://t.co/UBBgJllJlz')
('2017-04-20 23:40:05', '.@NaviAvatar1 on #Periscope: StockNews Dow up 174 $AAPL $NVDA $AMZN $BABA $FB https://t.co/ED6VrcUBSq')
('2017-04-20 23:40:05', '$AAPL\nFinal one tonight\nForced to update the map for this\ncoil eradicated\nlow not taken \nB - Form and fibs placed https://t.co/p1vvuLNKSi')
('2017-04-20 23:39:55', '#futurism $aapl $googl $amzn $nflx @ARKindu @futureguru @CathieDWood @su_labs @pmarca @fmanjoo @DanielBurrus https://t.co/EKbWUf03gY')
('2017-04-20 23:38:14', 'RT @themotleyfool: If you were named after a fruit  &amp; had $246 billion laying around, how would you spend it? Asking for a friend $AAPL htt…')
('2017-04-20 23:33:56', 'Dow closes up 173 points, $AAPL $BABA $NVDA lead the bull charge. https://t.co/oVfBaxDycg')
('2017-04-20 23:28:36', 'RT @BarronsNEXT: iPhone delays might actually be a good thing. https://t.co/0mAjf90oAI $AAPL')
('2017-04-20 23:27:42', 'RT @SJosephBurns: If $AAPL was a country, it would be 25th biggest economy in the world @ValaAfshar &gt; Belgium. https://t.co/LOFCZvDSXp http…')
('2017-04-20 23:27:18', 'RT @appleinsider: New mid-April drone footage shows trespasser’s view of Apple Park site $AAPL https://t.co/p1SnXbCj5r https://t.co/5oaVhd0…')
('2017-04-20 23:23:04', 'RT @ElixiumCrypto: #Trading with #Bitcoin\n\nhttps://t.co/O2OJksMa3p\n\n@ElixiumBitcoin #Forex #Stocks $ES $CL $GC $GOOG $AAPL $TSLA $SPY $QQQ…')
('2017-04-20 23:19:32', 'RT @LMT978: $AAPL holds rising 50d https://t.co/j96cII5bEn')
('2017-04-20 23:14:03', 'RT @ElixiumCrypto: #Trading with #Bitcoin\n\nhttps://t.co/O2OJksMa3p\n\n@ElixiumBitcoin #Forex #Stocks $ES $CL $GC $GOOG $AAPL $TSLA $SPY $QQQ…')
('2017-04-20 23:13:49', 'RT @OptionsHawk: Apple $AAPL buyer of 11,000 August $150 calls to open $2.97 rolled out of April $125 calls')
('2017-04-20 23:13:33', 'RT @themotleyfool: If you were named after a fruit  &amp; had $246 billion laying around, how would you spend it? Asking for a friend $AAPL htt…')
('2017-04-20 23:10:21', 'RT @News_Screamer: Apple iPhone 5 16GB - Unlocked - White (Certified Refurbished) https://t.co/InG83qsKAb $AAPL #apple #iphone5')
('2017-04-20 23:09:18', 'Apple iPhone 5 16GB - Unlocked - White (Certified Refurbished) https://t.co/InG83qsKAb $AAPL #apple #iphone5')
('2017-04-20 23:08:38', 'Long signals : $AAPL (Daily)\n#stocks #apple #trading #signal https://t.co/V8ybGBaMEF')
('2017-04-20 23:07:56', 'RT @racernic: $AAPL as if nothing happened :-) https://t.co/UBBgJllJlz')
('2017-04-20 23:06:19', 'RT @MacHashNews: Leaked safety document may hint at future Apple technology such as AR glasses https://t.co/gn4D4b8BXX #AppleInsider $AAPL…')
('2017-04-20 23:03:12', 'Leaked safety document may hint at future Apple technology such as AR glasses https://t.co/gn4D4b8BXX #AppleInsider… https://t.co/BDrt8Riew6')
('2017-04-20 23:00:57', "Join @RobinhoodApp and we'll both get a share of stock like $AAPL, $F, or $S for free. Make sure to use my link.\n\nhttps://t.co/oiZXlvEMwV")
('2017-04-20 22:59:23', 'RT @racernic: $AAPL as if nothing happened :-) https://t.co/UBBgJllJlz')
('2017-04-20 22:54:12', 'RT @LMT978: $AAPL holds rising 50d https://t.co/j96cII5bEn')
('2017-04-20 22:51:07', '$AAPL holds rising 50d https://t.co/j96cII5bEn')
('2017-04-20 22:47:05', 'RT @ElixiumCrypto: #Trading with #Bitcoin\n\nhttps://t.co/O2OJksMa3p\n\n@ElixiumBitcoin #Forex #Stocks $ES $CL $GC $GOOG $AAPL $TSLA $SPY $QQQ…')
('2017-04-20 22:44:10', "RT @StockTwits: 10 stocks are responsible for 52% of the S&amp;P 500's climb this year\n\n• $PM\n• $FB\n• $AAPL\n• $AMZN\n• $V\n\nFull list: https://t.…")
('2017-04-20 22:38:05', 'RT @ProfectuSystems: High-return stock trading model, Profectus System 1: https://t.co/18lp7kDYva $SGY $REN $TSLA $AAPL $SPY')
('2017-04-20 22:36:18', "$AAPL This Is Why Samsung's Galaxy S8 Could Blow Some Minds on Wall Street https://t.co/JCsIcm8OoV")
('2017-04-20 22:36:03', 'Having 10 different news tabs open for $AAPL $DB $BP? We give you 1 https://t.co/iSMMsCwWju https://t.co/yk4DSempgg')
('2017-04-20 22:31:20', 'Intel Rumored to Debut Basin Falls Platform in May, Launch Coffee Lake Chips in August https://t.co/vnMojuyTtR… https://t.co/yVKswwnnEB')
('2017-04-20 22:29:06', 'RT @ElixiumCrypto: #Trading with #Bitcoin\n\nhttps://t.co/O2OJksMa3p\n\n@ElixiumBitcoin #Forex #Stocks $ES $CL $GC $GOOG $AAPL $TSLA $SPY $QQQ…')
('2017-04-20 22:27:24', 'Quick easy scalp on $USDJPY! +52 total pips. #forex #Trading #scalper $FB $TWTR $AAPL https://t.co/aMsHHLFvBO')
('2017-04-20 22:23:26', 'T3 Live Daily Recap - Stock Market Optimism Increases\n\nhttps://t.co/a5e6qXahFl\n\n$WFC $BAC $QQQ $AAPL $AMZN $FB $NFLX $GS $NVDA $GLD')
('2017-04-20 22:22:05', 'RT @ElixiumCrypto: #Trading with #Bitcoin\n\nhttps://t.co/O2OJksMa3p\n\n@ElixiumBitcoin #Forex #Stocks $ES $CL $GC $GOOG $AAPL $TSLA $SPY $QQQ…')
('2017-04-20 22:21:29', "$AAPL Cramer pinpoints the origins of the market's bullish surge https://t.co/IuDxsw6hLi")
('2017-04-20 22:19:18', 'RT @themotleyfool: If you were named after a fruit  &amp; had $246 billion laying around, how would you spend it? Asking for a friend $AAPL htt…')
('2017-04-20 22:19:14', '#Instant #Apple Unlocking $0.99 Cent All #iPhone FOR 3GS 4 4S 5 5C 5S 6 6+ #unlockfusion #icloud #freeunlock #factoryunlock $AAPL #unlock')
('2017-04-20 22:16:50', 'Archived on 03/23/2017: It might be hard to believe, but the $AAPL TV has now been with us for more than 10 years https://t.co/oCuAdBrnZx')
('2017-04-20 22:15:09', '#Instant #Apple Unlocking $0.99 Cent All #iPhone FOR 3GS 4 4S 5 5C 5S 6 6+ #unlockfusion #icloud #freeunlock #factoryunlock $AAPL #unlock')
('2017-04-20 22:15:07', 'RT @ElixiumCrypto: #Trading with #Bitcoin\n\nhttps://t.co/O2OJksMa3p\n\n@ElixiumBitcoin #Forex #Stocks $ES $CL $GC $GOOG $AAPL $TSLA $SPY $QQQ…')
('2017-04-20 22:13:29', '$AAPL expected to ship 250 million phones in 2018')
('2017-04-20 22:13:07', 'iPhone delays might actually be a good thing. https://t.co/0mAjf90oAI $AAPL')
('2017-04-20 22:12:40', 'High-return stock trading model, Profectus System 1: https://t.co/18lp7kDYva $SGY $REN $TSLA $AAPL $SPY')
('2017-04-20 22:09:55', "RT @SFinanciers: Apple's Original Content Efforts 'Unfocused' https://t.co/WgqgPcipXQ $AAPL https://t.co/QvedWmR7fX")
('2017-04-20 22:09:55', 'See why these assets are trending in 1 watchlist $AAPL $Blockchain $CAC40 $DB https://t.co/ct7WqnBurd https://t.co/CnIcK97njC')
('2017-04-20 22:07:04', 'All calls making money  $gs $fb $baba $nflx $aapl $bac ... and all puts making money $tsla $amzn $cmg .. looking good going into Friday ..')
('2017-04-20 22:06:14', 'Long $AAPL https://t.co/7eob2HYvna')
