('2017-04-18 15:53:50', 'RT @JustinPulitzer: @smartertrader @jimcramer I concur. $JPM &amp; $MS are just better run shops these days.'),,,,,,,,,,
('2017-04-18 15:53:26', '@smartertrader @jimcramer I concur. $JPM &amp; $MS are just better run shops these days.'),,,,,,,,,,
('2017-04-18 15:52:34', 'RT @AaronLucchetti: With our super technical red-vs-green bank earnings indicator, Goldman and Wells have had a tougher time. $JPM, Citi an‰Û_'),,,,,,,,
('2017-04-18 15:50:31', 'Dow #Stocks Trend $MSFT $CAT $INTC $MRK $DD $BA $CSCO $AAPL $IBM $MCD $JPM $DIS $UNH $V $HD $TRV $MMM $AXP $GS  @ https://t.co/TvzJfd0RGT'),,,,,,,,,,
('2017-04-18 15:49:59', 'With our super technical red-vs-green bank earnings indicator, Goldman and Wells have had a tougher time. $JPM, Cit‰Û_ https://t.co/L3zR3tYmOl'),,,,,,,,
('2017-04-18 15:48:15', '$GS $.SPX $.DJI $JPM:\n\nAs Goldman goes, so goes the market, history shows:\n\nhttps://t.co/LVp5jdECs7'),,,,,,,,
('2017-04-18 15:40:06', 'RT @brianfires: *WARNING*$agn $VRX $TWTR $IPXL $SPY $SNAP $AAPL $MYL $MRK $tst $eXel $JNJ $KO $PeP $GOOGL $BRK $IeP $MSFT $JPM $bac https:/‰Û_'),,,,,,,,,,
('2017-04-18 15:39:45', '*WARNING*$agn $VRX $TWTR $IPXL $SPY $SNAP $AAPL $MYL $MRK $tst $eXel $JNJ $KO $PeP $GOOGL $BRK $IeP $MSFT $JPM $bac https://t.co/zq82vcJB6A'),,,,,,,,,,
('2017-04-18 15:27:05', 'Price Target Alert: Trading the Zacks price target change for JPMORGAN CHASE\xa0$JPM https://t.co/90uVAN3iiA https://t.co/OlSVWo35Hi'),,,,,,,,,,
('2017-04-18 15:25:34', 'Take on technicals \\u2026 $JPM https://t.co/5q5RKBKRb8 TV_TradingIdeas'),,,,,,,,,,
('2017-04-18 15:22:14', 'Take on technicals \\u2026 $JPM https://t.co/kJGBjahKaM'),,,,,,,,,,
('2017-04-18 15:21:19', '#FloorTalk Bank On It...\n$XLF $GS $BAC $JPM $C $WFC $IAI $KRE $KBE $MS https://t.co/z17W53QxNP'),,,,,,,,,,
('2017-04-18 14:51:44', 'RT @420WeedStreet: $SPY $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY https://t.co/6Ke‰Û_'),,,,,,,,,,
('2017-04-18 14:50:26', '$JPM Can J.P. Morgan Hold onto Its Premium Valuation after 1Q17? https://t.co/2rdsFncd1Y'),,,,,,,,,,
('2017-04-18 14:48:13', '$GS $BAC $JPM $C $SNAP:\n\nWall Street on Goldman whiff: ‰Û÷What the heck is going on?‰Ûª:\n\nhttps://t.co/nBp8fUi1kY'),,,,,,,,,,
('2017-04-18 14:39:01', 'RT @SeekingAlpha: Bank Of America: A Great Quarter https://t.co/S2lgl22yXs $C $JPM $BAC'),,,,,,,,,,
('2017-04-18 14:38:56', '$SPY As far as the USA  @POTUS ALLOWS! $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI‰Û_ https://t.co/jJHcaJ4aLS'),,,,,,,,,,
('2017-04-18 14:38:11', 'Why Wells Fargo Can Outperform https://t.co/yKCcTR8XgW $BAC $C $SPY $JPM $WFC'),,,,,,,,,,
('2017-04-18 14:38:10', 'Bank Of America: A Great Quarter https://t.co/bb4q1tRmlL $C $JPM $BAC'),,,,,,,,,,
('2017-04-18 14:35:09', '$SPY $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY $PCLN https://t.co/wuh5LVjpCx'),,,,,,,,,,
('2017-04-18 14:34:02', '$SPY BOMBS AWAY!! $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY https://t.co/fge7ewwzst'),,,,,,,,,,
('2017-04-18 14:31:56', 'Why Wells Fargo Can Outperform https://t.co/A7XWkqc5PU $BAC $C $SPY $JPM $WFC'),,,,,,,,,,
('2017-04-18 14:31:48', 'Bank Of America: A Great Quarter https://t.co/S2lgl22yXs $C $JPM $BAC'),,,,,,,,,,
('2017-04-18 14:29:30', '$SPY $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY $ https://t.co/rk88PWsvym'),,,,,,,,,,
('2017-04-18 14:25:53', 'Post-Earnings Blackout IPT\n$C $Bmark\n5Y low +120s\n31NC30 FXD/FRN +160s\n\n$JPM $Bmark\n6NC5 FRN 3mL +105\n6NC5 FXD/FRN +120\n11NC10 FXD/FRN +150s'),,,,,,,,,,
('2017-04-18 14:16:12', 'Bank Of America: A Great Quarter That Placed The Stock On Our Radar https://t.co/kHTZNCyCr6 $C $JPM $BAC'),,,,,,,,,,
('2017-04-18 14:13:38', 'JPM Top news - Apr 18th, 2017 $JPM http://https://t.co/hFjjZvyCU0'),,,,,,,,,
('2017-04-18 14:10:52', 'Glacier Peak Capital LLC Invests $129,000 in JPMorgan Chase &amp; Co. $JPM https://t.co/unhfAf9QUm'),,,,,,,,,
('2017-04-18 14:09:50'," ""the action in $NFLX &amp; $GS is no different than last week's action in $JPM..people are selling any pop..may continue‰Û_ https://t.co/nbAPSND7cK"")",,,,,,,,,,
('2017-04-18 14:06:30', '$JPM:US Givaudan Sa (GVDNY) Earns Buy Rating from JPMorgan Chase &amp; Co. #JPMORGAN CHASE &amp; CO  https://t.co/kSOM6IHbmc #SP500'),,,,,,,,,,
('2017-04-18 14:04:05', 'RT @talkingmoose_: Corps w/#h1b staff are #unAmerican.\n$INTC $DIS $GOOG $MSFT $IBM $QCOM $NVDA $JPM $AAPL $AMZN $MCD $ORCL $WFC $GS $BAC $H‰Û_'),,,,,,,,,,
('2017-04-18 14:02:29', 'RT @talkingmoose_: Corps w/#h1b staff are #unAmerican.\n$INTC $DIS $GOOG $MSFT $IBM $QCOM $NVDA $JPM $AAPL $AMZN $MCD $ORCL $WFC $GS $BAC $H‰Û_'),,,,,,,,,,
('2017-04-18 14:00:20'," 'Goldman cites ""challenged"" client activity; BofA", like $JPM and $C, sees higher equities revenue https://t.co/abAMhYmxsu'),,,,,,,,
('2017-04-18 13:58:03', '$JPM $AXP:\n\nHow the recent spate of luxury credit cards might ruin your summer ‰Û_:\n\nhttps://t.co/GzSUD6jAKy'),,,,,,,,,,
('2017-04-18 13:51:10', '$SPY $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY https://t.co/6KeHlSMLuJ'),,,,,,,,,,
('2017-04-18 13:47:51', 'RT @talkingmoose_: Corps w/#h1b staff are #unAmerican.\n$INTC $DIS $GOOG $MSFT $IBM $QCOM $NVDA $JPM $AAPL $AMZN $MCD $ORCL $WFC $GS $BAC $H‰Û_'),,,,,,,,,,
('2017-04-18 13:46:44', 'RT @talkingmoose_: Corps w/#h1b staff are #unAmerican.\n$INTC $DIS $GOOG $MSFT $IBM $QCOM $NVDA $JPM $AAPL $AMZN $MCD $ORCL $WFC $GS $BAC $H‰Û_'),,,,,,,,,,
('2017-04-18 13:44:42', '$BAC and $JPM the 2 best banks to own for the long term. 12 month price target is $30 and $120.'),,,,,,,,,,
('2017-04-18 13:43:33', 'RT @talkingmoose_: Corps w/#h1b staff are #unAmerican.\n$INTC $DIS $GOOG $MSFT $IBM $QCOM $NVDA $JPM $AAPL $AMZN $MCD $ORCL $WFC $GS $BAC $H‰Û_'),,,,,,,,,,
('2017-04-18 13:42:14', 'RT @talkingmoose_: Companies using #h1b  aren‰Ûªt clever. They‰Ûªre #unAmerican. $INTC $DIS $GOOG $MSFT $IBM $QCOM $NVDA $JPM $AAPL $CAT $ACN $‰Û_'),,,,,,,,,,
('2017-04-18 13:42:09', 'RT @talkingmoose_: Corps w/#h1b staff discriminate against #Americans for profit $INTC $DIS $GOOG $MSFT $IBM $QCOM $NVDA $JPM $AAPL $AMZN $‰Û_'),,,,,,,,,,
('2017-04-18 13:41:57', 'RT @talkingmoose_: Corps who use #h1b staff are #unAmerican\n$INTC $DIS $GOOG $MSFT $QCOM $NVDA $JPM $AAPL $AMZN $MCD $ORCL $WFC $GS $BAC $H‰Û_'),,,,,,,,,,
('2017-04-18 13:41:30', 'RT @talkingmoose_: Corps w/#h1b staff discriminate against #Americans for profit $INTC $DIS $GOOG $MSFT $IBM $QCOM $NVDA $JPM $AAPL $AMZN $‰Û_'),,,,,,,,,,
('2017-04-18 13:41:18', 'RT @talkingmoose_: Corps w/#h1b staff discriminate against #Americans for profit $INTC $DIS $GOOG $MSFT $IBM $QCOM $NVDA $JPM $AAPL $AMZN $‰Û_'),,,,,,,,,,
('2017-04-18 13:41:04', 'RT @talkingmoose_: Corps w/#h1b staff discriminate against #Americans for profit $INTC $DIS $GOOG $MSFT $IBM $QCOM $NVDA $JPM $AAPL $AMZN $‰Û_'),,,,,,,,,,
('2017-04-18 13:40:58', 'RT @talkingmoose_: Corps w/#h1b staff discriminate against #Americans for profit $INTC $DIS $GOOG $MSFT $IBM $QCOM $NVDA $JPM $AAPL $AMZN $‰Û_'),,,,,,,,,,
('2017-04-18 13:40:43', 'RT @talkingmoose_: Corps w/#h1b staff discriminate against #Americans for profit $INTC $DIS $GOOG $MSFT $IBM $QCOM $NVDA $JPM $AAPL $AMZN $‰Û_'),,,,,,,,,,
('2017-04-18 13:40:39', 'RT @talkingmoose_: Corps w/#h1b staff discriminate against #Americans for profit $INTC $DIS $GOOG $MSFT $IBM $QCOM $NVDA $JPM $AAPL $AMZN $‰Û_'),,,,,,,,,,
('2017-04-18 13:40:34', 'RT @talkingmoose_: Corps w/#h1b staff discriminate against #Americans for profit $INTC $DIS $GOOG $MSFT $IBM $QCOM $NVDA $JPM $AAPL $AMZN $‰Û_'),,,,,,,,,,
('2017-04-18 13:40:32', 'RT @talkingmoose_: Corps w/#h1b staff discriminate against #Americans for profit $INTC $DIS $GOOG $MSFT $IBM $QCOM $NVDA $JPM $AAPL $AMZN $‰Û_'),,,,,,,,,,
('2017-04-18 13:39:57', 'RT @talkingmoose_: Corps w/#h1b staff discriminate against #Americans for profit $INTC $DIS $GOOG $MSFT $IBM $QCOM $NVDA $JPM $AAPL $AMZN $‰Û_'),,,,,,,,,,
('2017-04-18 13:39:52', 'RT @talkingmoose_: Corps w/#h1b staff discriminate against #Americans for profit $INTC $DIS $GOOG $MSFT $IBM $QCOM $NVDA $JPM $AAPL $AMZN $‰Û_'),,,,,,,,,,
('2017-04-18 13:39:42', 'RT @talkingmoose_: Corps w/#h1b staff discriminate against #Americans for profit $INTC $DIS $GOOG $MSFT $IBM $QCOM $NVDA $JPM $AAPL $AMZN $‰Û_'),,,,,,,,,,
('2017-04-18 13:39:37', 'RT @talkingmoose_: Corps w/#h1b staff discriminate against #Americans for profit $INTC $DIS $GOOG $MSFT $IBM $QCOM $NVDA $JPM $AAPL $AMZN $‰Û_'),,,,,,,,,,
('2017-04-18 13:39:27', 'RT @talkingmoose_: Corps w/#h1b staff discriminate against #Americans for profit $INTC $DIS $GOOG $MSFT $IBM $QCOM $NVDA $JPM $AAPL $AMZN $‰Û_'),,,,,,,,,,
('2017-04-18 13:38:39', 'Well. it is nice that one of these trades is working out! $GS $JPM https://t.co/b2t4U31XY5'),,,,,,,,,,
('2017-04-18 13:37:36', 'RT @talkingmoose_: Corps w/#h1b staff are #unAmerican $INTC $DIS $GOOG $MSFT $IBM $QCOM $NVDA $JPM $AAPL $AMZN $ORCL $WFC $GS $BAC $HPE $EB‰Û_'),,,,,,,,,,
('2017-04-18 13:34:03', 'Bank Stock Roundup: JPM, WFC, C, PNC Kickstart Q1 Earnings with Optimism https://t.co/rXULtkHKY5 $WFC $C $JPM $BAC $PNC'),,,,,,,
('2017-04-18 13:33:14', 'RT @JohnSpall247: $BAC #BAC #MOYNIHAN #SmallBusiness #lending UNIT HAD BEST #Production EVER #JPM $JPM @MariaBartiromo @dagenmcdowell @real‰Û_'),,,,,,,,,,
('2017-04-18 13:32:36', 'RT @OptionAlert: Largest open interest increases among single stock options for 4/18 include $BAC, $NFLX, $FB, $AAPL, and $JPM.'),,,,,,
('2017-04-18 13:31:35', '[SITREP] $GS Rare Miss, $BAC Beat, 50 DMA https://t.co/6CU4DerBLg $JPM $C strong selling another $SPX weekly bear call spread'),,,,,,,,
('2017-04-18 13:29:17', 'RT @OptionAlert: Largest open interest increases among single stock options for 4/18 include $BAC, $NFLX, $FB, $AAPL, and $JPM.'),,,,,,
('2017-04-18 13:28:21', '$GS $XLF $JPM $BAC $XLI $XLB\n\nGood for tech $AAPL $AMZN $GOOGL $FB  -- secular growth stories https://t.co/E21npEvsr7'),,,,,,,,,,
('2017-04-18 13:28:02', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/t8MfDLIXxV'),,,,,,,,,,
('2017-04-18 13:27:32', 'True, but in rising rate environment, a more rate sensitive bank like $BAC, $JPM, or $C has an additional revenue/p‰Û_ https://t.co/5xXKSlYt5S'),,,,,,
('2017-04-18 13:27:03'," ""RT @jpmorgan: $JPM's Deasy tells @WSJ: Public cloud creates efficiencies and enables new #technology.  https://t.co/LHFlvRRlNI"")",,,,,,,,,,
('2017-04-18 13:25:35'," ""I wouldn't focus on how $gs could miss"," but how $bac $jpm fabricated beat"")",,,,,,,,,
('2017-04-18 13:22:43', '$JPM hails $CMG\n\nRaises estimates for year\n\nMore upgrades to follow'),,,,,,,,,,
('2017-04-18 13:22:08'," ""Today is PERFECT example of the $GS damage of WMD #ETF's and why we need the #GoldenRules especially #4a. $bac $jpm‰Û_ https://t.co/43pqMYv3aX"")",,,,,,,,,,
('2017-04-18 13:19:34', 'RT @OptionAlert: Largest open interest increases among single stock options for 4/18 include $BAC, $NFLX, $FB, $AAPL, and $JPM.'),,,,,,
('2017-04-18 13:16:56', '$GS disappointing results vs. peers in both Equities and Fixed Income Sales/ Trading $JPM $C $BAC'),,,,,,,,,,
('2017-04-18 13:16:01', 'Largest open interest increases among single stock options for 4/18 include $BAC, $NFLX, $FB, $AAPL, and $JPM.'),,,,,,
('2017-04-18 13:15:44'," ""RT @SeekingAlpha: 6 Reasons Rising Rates Not Helping Most Banks' Profits So Far This Quarter https://t.co/xOSH78fXei $C $CBSH $FHN $FRC $JP‰Û_"")",,,,,,,,,,
('2017-04-18 13:11:50', '$BAC Bank of America Beats Estimates as Bond-Trading Surge Matches Rivals https://t.co/pxhovOXgRO $XLF $C $WFC $JPM $GS $SPY #stocks $QQQ $F'),,,,,,,,,,
