('2017-04-27 15:58:04', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/DtU7266a8v')
('2017-04-27 15:53:43'," ""RT @KumarRaoNYC: #BackersofHate morally bankrupt companies who will benefit from Trump's racist policies:\n$JPM \n$WFC \n$GC \n$BA \n$DIS \n$IBMâ€_"")"
('2017-04-27 15:53:12', 'RT @ZolmaxNews: JPMorgan Chase &amp; Co. $JPM Upgraded to Outperform at Vining Sparks https://t.co/sBuN9TQB1e')
('2017-04-27 15:52:34', '$JPM $BAC $XLF $DB What the frig is wrong today???????? this is nuts.\n\n@petenajarian @karenfinerman @HalftimeReport')
('2017-04-27 15:52:02', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/QjyhgdA8pM')
('2017-04-27 15:45:17', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/nK9HgH6nUW')
('2017-04-27 15:45:16', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/yfoEaLJeMs')
('2017-04-27 15:43:04', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/iz5aKKrU14')
('2017-04-27 15:43:04', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/hYhcXLw63X')
('2017-04-27 15:43:03', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/up59rJRM5q')
('2017-04-27 15:41:07', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/Jy8mOl4kIq')
('2017-04-27 15:41:07', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/lN7P1lLmNw')
('2017-04-27 15:41:06', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/ulo89ngyqk')
('2017-04-27 15:41:05', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/OdnbVZOXaR')
('2017-04-27 15:37:15', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/tsvqKj3CqQ')
('2017-04-27 15:35:17'," ""RT @KumarRaoNYC: #BackersofHate morally bankrupt companies who will benefit from Trump's racist policies:\n$JPM \n$WFC \n$GC \n$BA \n$DIS \n$IBMâ€_"")"
('2017-04-27 15:34:43'," ""RT @KumarRaoNYC: #BackersofHate morally bankrupt companies who will benefit from Trump's racist policies:\n$JPM \n$WFC \n$GC \n$BA \n$DIS \n$IBMâ€_"")"
('2017-04-27 15:33:42'," ""RT @jpmorgan: $JPM's Dorothee Blessing: We know that in order to make a positive impact all of us need to pull together. https://t.co/kYtYâ€_"")"
('2017-04-27 15:31:55'," ""#BackersofHate morally bankrupt companies who will benefit from Trump's racist policies:\n$JPM \n$WFC \n$GC \n$BAâ€_ https://t.co/veCgyULqPG"")"
('2017-04-27 15:27:12', 'JPMorgan Chase &amp; Co. $JPM Upgraded to Outperform at Vining Sparks https://t.co/sBuN9TQB1e')
('2017-04-27 15:14:24', 'Why Is JPMorgan Trying To Corner The #Silver Market? https://t.co/T8zX4fUX2V $JPM $SLV $AGQ $PSLV $USLV $SIVR $ZSL $SLVO $DSLV $DBS $USV')
('2017-04-27 15:11:26', 'RT @jpmorgan: Mapping developing areas can have a lasting impact. See how $JPM employees participate in the Missing Maps program. https://tâ€_')
('2017-04-27 15:07:21', 'JPMorgan Chase &amp; Co. upgraded by Vining Sparks to outperform. $95.00 PT. https://t.co/9RDDCyUwx5 $JPM #JPM')
('2017-04-27 15:07:13', 'JPMorgan Chase &amp; Co. upgraded by Vining Sparks to outperform. $95.00 PT. https://t.co/nIqsfnL4jW $JPM #JPM')
('2017-04-27 15:03:07', 'RT @blacktietrader: Banks looking like 50dma rejection currently between 20/50dma but pulling market down a bit here $XLF $GS $JPM $BAC $Bâ€_')
('2017-04-27 14:57:52', 'Banks looking like 50dma rejection currently between 20/50dma but pulling market down a bit here $XLF $GS $JPM $BAC $BKX')
('2017-04-27 14:39:29', '3 of the Best Premier Credit Card Perks https://t.co/OKSBQIqZYl $BAC $BCS $JPM $C $WFC $MAR $AXP')
('2017-04-27 14:38:58'," 'RT @Lemieux_26: The kind of growth that pays for the ""biggest #tax cut ever"" - yeah?\n\nFirst $JPM now ATL #fed\n\n$SPX $QQQ $USDJPY\n@Macro_Viâ€_')"
('2017-04-27 14:38:32', '@RedDogT3 How about $JPM? Insider purchases and big calls being bought')
('2017-04-27 14:36:10'," ""RT @jpmorgan: Watch $JPM's Joyce Chang on @BloombergTV discussing the outlook for #China markets. https://t.co/wP9ghyFrtx"")"
('2017-04-27 14:30:57', 'Vetr users have downgraded JP Morgan Chase &amp; Co. to a BUY Rating (4 stars) giving $JPM a target price of $99.01 https://t.co/8bjVa9BdPr')
('2017-04-27 14:30:47'," 'RT @Lemieux_26: The kind of growth that pays for the ""biggest #tax cut ever"" - yeah?\n\nFirst $JPM now ATL #fed\n\n$SPX $QQQ $USDJPY\n@Macro_Viâ€_')"
('2017-04-27 14:28:53', '$gs $bac $jpm red and looking to close some of this week open gaps... SPX need below 2381s to start that')
('2017-04-27 14:27:34', 'SFTW Trader short-term Recommendation: $JPM JPMorgan Chase &amp; Co. #stocks https://t.co/rNfVyCfhYS')
('2017-04-27 14:27:02', '$JPM - JPMorgan Chase Instituteâ€™s Local Consumer Commerce Idx Shows a 0.7 Percent Decrease in Consumer https://t.co/EvyWcGZT4h')
('2017-04-27 14:26:59', 'what does $JPM know?')
('2017-04-27 14:25:33', '$JPM J.P. Morgan reduces U.S. first-quarter GDP growth view to 0.3 percent https://t.co/YfLQBUz940 via @Reuters')
('2017-04-27 14:22:03', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/lpJAbUnWf8')
('2017-04-27 14:21:20'," ""#Tech still heading North $XLK in today's action as #Banks consolidate $XLF\n\nContinuing to monitor $BAC $C $MS $JPM for market direction"")"
('2017-04-27 14:17:54', 'RT @SeekingAlpha: Why Is JPMorgan Trying To Corner The Silver Market? https://t.co/jRoe1SgcAc $JPM $SLV $AGQ $PSLV $USLV $SIVR $ZSL $SLVO $â€_')
('2017-04-27 14:16:06', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/zF3t6idBKM')
('2017-04-27 14:15:35', '$BAC $JPM $GS $C financials taken down by the oil decline')
('2017-04-27 14:14:37', '$FSLR lots of new capital deployed into renewables. Surprise in earnings is a strong possibility. Looks like $JPM knows something upgrading')
('2017-04-27 14:13:20'," 'RT @Lemieux_26: The kind of growth that pays for the ""biggest #tax cut ever"" - yeah?\n\nFirst $JPM now ATL #fed\n\n$SPX $QQQ $USDJPY\n@Macro_Viâ€_')"
('2017-04-27 14:13:02', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/NGlwDEDOSk')
('2017-04-27 14:11:53'," 'The kind of growth that pays for the ""biggest #tax cut ever"" - yeah?\n\nFirst $JPM now ATL #fed\n\n$SPX $QQQ $USDJPYâ€_ https://t.co/dneLxyciFv')"
('2017-04-27 14:08:04', 'Why Is JPMorgan Trying To Corner The Silver Market? https://t.co/6FkvFF3KUD $JPM $SLV $AGQ $PSLV $USLV $SIVR $ZSL $SLVO $DSLV $DBS $USV')
('2017-04-27 14:07:45', 'RT @SeekingAlpha: Why Is JPMorgan Trying To Corner The Silver Market? https://t.co/jRoe1SgcAc $JPM $SLV $AGQ $PSLV $USLV $SIVR $ZSL $SLVO $â€_')
