('2017-05-01 15:57:03', '$JPM:\n\nNew SEC Filing for JPM: Form 424B2 (No. 0001140361-17-017485):\n\nhttps://t.co/HWuO6Z6wHh')
('2017-05-01 15:49:01', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/T8bE9Zpwsq')
('2017-05-01 15:48:57', 'A Guide to Putting CAN SLIM Concepts Into Action: https://t.co/a7nAY0cVJf $VZ $T $GS $CS $C $JPM $VIX $SPY')
('2017-05-01 15:46:02', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/a5HJ8uTPYT')
('2017-05-01 15:45:01', '$JPM reimagined its approach to #philanthropy. Inclusive growth = effective #workforce training https://t.co/I9YXPXe0uS @JPMorgan @Chase')
('2017-05-01 15:39:38'," ""Wells Fargo JPM and Citi reported earnings today. Here's what the market thinks\n\n$JPM +0.3%\n$C -0.6%\n$WFC -2.5%\n\n https://t.co/6hSLFdgdvz"")"
('2017-05-01 15:35:36', 'Vetr Inc. Lowers JPMorgan Chase &amp; Co. $JPM to Buy https://t.co/O9cn1IV9Ck')
('2017-05-01 15:03:12'," ""RT @jpmorgan: Explore how $JPM's Depositary Receipts team has helped foreign companies grow over the last 90 years: https://t.co/pUARZHjUOe‰Û_"")"
('2017-05-01 14:51:53', '$GS Nice push off intial support area. https://t.co/VHF7MqmtZb #livetradepro\n\n$XLF $JPM $MS $BAC $C $JPM $WFC $SPY https://t.co/MYFb9uSt72')
('2017-05-01 14:09:35', 'How Preferred Stock Investors Can Keep Up With Increasing Rates https://t.co/rx2DJscX8V $ALL $BAC $EIX $FRC $JPM $KE')
('2017-05-01 14:03:57', 'JPM Top news - May 1st 2017 $JPM http://https://t.co/LK3xZ5vlbV')
('2017-05-01 14:02:19', 'RT @vieiraUAE: JP Morgan customers complaints @jpmorgan and @CowenResearch at new-all time highs $JPM $X https://t.co/yihnA6l5uz https://t.‰Û_')
('2017-05-01 14:02:04', 'JP Morgan customers complaints @jpmorgan and @CowenResearch at new-all time highs $JPM $X https://t.co/yihnA6l5uz https://t.co/tR9Fta7y7z')
('2017-05-01 14:00:40', 'Advantage Investment Management LLC Invests $1.449 Million in JPMorgan Chase &amp; Co. $JPM https://t.co/rWGGjAYXCn')
('2017-05-01 14:00:39', 'Numeric Investors LLC Buys 4700 Shares of JPMorgan Chase &amp; Co. $JPM https://t.co/LAoaDI3eMq')
('2017-05-01 13:30:06', 'https://t.co/nbsrjBp6Le // $ARIA $KERX $JPM $FAS $DIG - mid July 2015... // $KERX #trading #investing #stocks https://t.co/lAy9kKK8om')
('2017-05-01 13:26:51', 'MUST READ: OCN up huge this morning: https://t.co/ZihIz3fCKM $JPM $DUK $HLF $BBEPQ $TVIX $ULTA $LO $AXAS $ECL $DOV')
('2017-05-01 13:11:42', 'JPMorgan Chase: Hold Or Fold? https://t.co/xxyMiuJESR $AAPL $AMZN $MSFT $XOM $JPM')
('2017-05-01 13:02:32', 'RT @PortfolioBuzz: Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6Sogpu https://t.co/u‰Û_')
('2017-05-01 12:58:04', 'JPMorgan Chase &amp; Co. $JPM Earns Neutral Rating from Nomura https://t.co/jBlka3kWMX')
('2017-05-01 12:55:18', 'Extracted today randomly as always: $JPM+ $BCTF $AMH-E $BHK $OEC $SIRI $KTH $PCG-A $ZAYO $JJSF. More details at https://t.co/FOOriXawTk')
('2017-05-01 12:47:21', 'Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6Sogpu https://t.co/ue2CGO1bke')
('2017-05-01 12:46:47'," ""I've got Contemporary Overvalue Correcting Skills Too! $ibm $agn $tst $fb $msft $goog $googl $crm $spy $brk $iep $amzn $jpm $wfc $bac $ko"")"
('2017-05-01 12:43:12', 'RT @scutify: 5 Questions Apple Inc. (AAPL) Earnings Should Answer https://t.co/m1pyG63CYk $AAPL $JPM $UBS $DIS $QCOM #earnings #tech #iPhon‰Û_')
('2017-05-01 12:41:23', 'I Have Contemporary &amp; Value Adding Skills Yet Long Term Unemployed. Hhhmmm.. $ibm $brk $iep $twtr $ko $jpm $vex $agn $aapl $msft $jnj $myl')
('2017-05-01 12:40:35'," ""#Breaking Former Fed Chairman Ben Bernanke '3% Growth possible' #stocks #WallStreet $GS $JPM $MS $C $BAC $WFC $BX $BLK $AIG #MayDay2017 #NYC"")"
('2017-05-01 12:39:03', 'Maybe $AB decides to accept the trend toward passive as $jpm did rather than just fighting it. AB has some good act‰Û_ https://t.co/fOsDEr7DEy')
('2017-05-01 12:38:18', '#MayDay2017 march targeting #BackersofHate companies who will benefit from Trump racist policies\n$JPM $WFC $GC $BA‰Û_ https://t.co/70p8pWHM8K')
('2017-05-01 12:37:13', 'RT @SirNyamranga: @bobbowman14 @MarketWatch Americans are addicted to debt. Long $JPM.')
('2017-05-01 12:36:21', '$SNE #SONY  ready for #analysts #upgrades https://t.co/tEL5sybCh6 $BNS $JPM $MS $GS $PIEJF $WFC $RBC $C $RJF $EVR‰Û_ https://t.co/6o46awPfzl')
('2017-05-01 12:12:13', 'JPMorgan Chase &amp; Co. $JPM Stock Rating Upgraded by Vining Sparks https://t.co/6yijbebiMo')
('2017-05-01 12:12:12', 'JPMorgan Chase &amp; Co. $JPM Stock Rating Upgraded by Vining Sparks https://t.co/kszJXH1VYG')
('2017-05-01 12:02:42', '#JPMorganChase Selection head leaves JP Morgan Private Bank. Read more: https://t.co/c9fsKHMZIU $JPM')
('2017-05-01 12:02:13', 'Vetr Inc. Upgrades JPMorgan Chase &amp; Co. $JPM to Strong-Buy https://t.co/k1tLjhnGIf')
('2017-05-01 12:02:13', 'Vetr Inc. Upgrades JPMorgan Chase &amp; Co. $JPM to Strong-Buy https://t.co/NddeAnLoSF')
('2017-05-01 11:59:44', '5 Questions Apple Inc. (AAPL) Earnings Should Answer https://t.co/xYy0jvaSn1 $AAPL $JPM $UBS $DIS $QCOM #earnings #tech #iPhone #acquisition')
('2017-05-01 11:58:56', '5 Questions Apple Inc. (AAPL) Earnings Should Answer https://t.co/ejKbvhKlUu $AAPL $JPM $UBS $DIS $QCOM #earnings‰Û_ https://t.co/lzzMaTMDya')
('2017-05-01 11:58:56', '5 Questions Apple Inc. (AAPL) Earnings Should Answer https://t.co/m1pyG63CYk $AAPL $JPM $UBS $DIS $QCOM #earnings‰Û_ https://t.co/vbHCOdNRS9')
('2017-05-01 11:58:30', 'Valeant Continues to Delever as $IBM Takes On More Debt $vrx $brk $iep $myl $twtr $msft $aapl $goog $amzn $baba‰Û_ https://t.co/TxdwLDfY1q')
('2017-05-01 11:15:58', 'JPMorgan Chase &amp; Co. $JPM Stock Rating Reaffirmed by Keefe Bruyette &amp; Woods https://t.co/H70YmIGfv4')
('2017-05-01 11:05:47'," ""RT @sarvarbhat: Go To Comcast - Cramer's Lightning Round (4/28/17) https://t.co/ExBx2ID1Jp $HAL $RDS.A $CVX $BOFI $JPM $WIFI $CMCSA $A $CRAY"")"
('2017-05-01 11:02:00'," ""Go To Comcast - Cramer's Lightning Round (4/28/17) https://t.co/ExBx2ID1Jp $HAL $RDS.A $CVX $BOFI $JPM $WIFI $CMCSA $A $CRAY"")"
('2017-05-01 11:01:45'," ""RT @SeekingAlpha: Go To Comcast - Cramer's Lightning Round (4/28/17) https://t.co/7qWkNKcN9l $HAL $RDS.A $CVX $BOFI $JPM $WIFI $CMCSA $A $C‰Û_"")"
('2017-05-01 10:59:44'," ""Go To Comcast - Cramer's Lightning Round (4/28/17) https://t.co/7qWkNKcN9l $HAL $RDS.A $CVX $BOFI $JPM $WIFI $CMCSA $A $CRAY"")"
('2017-05-01 10:51:17', '$JPM US ultra-long bonds: a tricky temptation for Trump https://t.co/8322BcV6rd')
('2017-05-01 10:36:11', 'JPMorgan Chase: Hold Or Fold? https://t.co/D7t9nFWDY7 $AAPL #APPLE $AMZN $MSFT $XOM $JPM')
('2017-05-01 10:33:50'," ""RT @jpmorgan: Explore how $JPM's Depositary Receipts team has helped foreign companies grow over the last 90 years: https://t.co/pUARZHjUOe‰Û_"")"
('2017-05-01 10:31:56', 'JPMorgan Chase: Hold Or Fold? https://t.co/W620l0vHYe $AAPL #APPLE $AMZN $MSFT $XOM $JPM')
('2017-05-01 10:31:08', 'How Preferred Stock Investors Can Keep Up With Increasing Rates https://t.co/Mu6kIegAYt $ALL $BAC $EIX $FRC $JPM $KEY $USB $WFC')
('2017-05-01 10:30:05', 'How Preferred Stock Investors Can Keep Up With Increasing Rates https://t.co/twiNoy78q5 $ALL $BAC $EIX $FRC $JPM $KEY $USB $WFC')
('2017-05-01 10:30:05', 'How Preferred Stock Investors Can Keep Up With Increasing Rates https://t.co/0Z8KGZjbBA $ALL $BAC $EIX $FRC $JPM $KEY $USB $WFC')
('2017-05-01 10:20:11', 'JPMorgan Chase &amp; Co. $JPM Given New $47.00 Price Target at Keefe Bruyette &amp; Woods https://t.co/se5Xb5vS9w')
('2017-05-01 10:13:14', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/DQj6MNIvwt')
('2017-05-01 10:10:07', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/ToIQSbYXaR')
('2017-05-01 10:10:06', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/gEYdR3wzQX')
('2017-05-01 10:10:06', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/2VzxYjOaPi')
('2017-05-01 10:10:05', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/viabnlDB9y')
('2017-05-01 10:10:05', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/lQ4e9JXVsY')
('2017-05-01 10:10:04', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/UUENqBtRmo')
('2017-05-01 10:04:08', '#JPMorganChase Wells Fargo organ wary of auto loans pack them in bonds. Read more: https://t.co/oX1MqFtxrs $JPM')
('2017-05-01 09:54:04', 'PagnatoKarp Partners LLC Acquires New Position in JPMorgan Chase &amp; Co. $JPM https://t.co/ZM0hOSs7KM')
('2017-05-01 09:54:04', 'PagnatoKarp Partners LLC Acquires New Position in JPMorgan Chase &amp; Co. $JPM https://t.co/RiHCBCeYxS')
