('2017-04-14 15:54:47', '$STUDY Dow30 Past week performance $JPM $CAT https://t.co/1gnkGYomj7')
('2017-04-14 15:53:40', '$STUDY Dow30 1-Week Performance $WMT $GS $JPM $CVX https://t.co/Ze0lCw7d02')
('2017-04-14 15:45:26', 'JPMorgan Results: Thank You For The Volatility Mr. Trump $JPM #stocks #Finance #Banking #earnings #jpmorgan  https://t.co/8UlJhg904f')
('2017-04-14 15:44:53'," '_Ÿ˜‚_Ÿ˜‚_Ÿ˜‚_Ÿ˜‚ I call my mobile trading thumb ""Doctor Greenthumb"" these days... $JPM https://t.co/UUOpNmXbUV')"
('2017-04-14 15:44:04', 'Bank of America: Expect Mid-to-High Singles Forward Returns | $BAC $C $GS $WFC $DB $MS $JPM $BCS $CS $ALLY | https://t.co/NJjqstsgPq')
('2017-04-14 15:43:25', 'RT @420WeedStreet: $SPY @POTUS  $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY https://â€_')
('2017-04-14 15:35:01', 'RT @presvnconsv: Dimon $JPM nostalgic for pre-crisis mtg market bc too much regulation high lending standards now https://t.co/ERk1iLe9y6')
('2017-04-14 15:34:26', '@cvpayne @Varneyco IF you look at $C &amp; $JPM bank business lending is UP. the bond market is being manipulated by Gundlach so he can cash out')
('2017-04-14 15:29:42', 'Large Caps Outdoing the S&amp;P | $AAPL $MSFT $AMZN $BRK.A $BRK.B $FB $JPM $BABA $BAC $V $MA $MRK $C $UNH $PEP $SQ | https://t.co/C3ymu6CDDA')
('2017-04-14 15:27:12', 'RT @jpmorgan: $JPM reports 1Q17 net income of $6.4B; $1.65 EPS on revenue of $25.6B; ROTCE of 13% https://t.co/fd6YicK60w')
('2017-04-14 15:15:21', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/EiFUKUsw7bâ€_ https://t.co/1ebbtZCuQf')
('2017-04-14 15:03:03', 'RT @Kevin1Dobbs: Higher card auto charge-offs signal shift in credit cycle https://t.co/JyjJaapbsG $JPM $WFC @SPGMarketIntel @SNLFinancial')
('2017-04-14 14:39:22', '$SPY $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY $PCLN https://t.co/LPRBikkWPh')
('2017-04-14 14:34:29', '$SPY @POTUS  $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY https://t.co/ZOsAZkr84f')
('2017-04-14 14:30:46', '#maximize #brand #growth #opportunities with https://t.co/fhMmdjxaHM #advice #tips and #brands #expertise $jpm #CES2018 #AI')
('2017-04-14 14:17:51', 'RT @traderstewie: The action in $JPM today tells you all need to know about this market https://t.co/9CohkFamRZ')
('2017-04-14 14:14:05', 'US businesses increase inventories by a modest 0.3 percent $JPM https://t.co/VGXRtNEIrq')
('2017-04-14 14:10:47'," 'RT @420WeedStreet: $SPY ""This pig needs 2b killed by his inner circle"" $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAPâ€_')"
('2017-04-14 14:03:34', 'Higher card auto charge-offs signal shift in credit cycle https://t.co/JyjJaapbsG $JPM $WFC @SPGMarketIntel @SNLFinancial')
('2017-04-14 14:00:07'," ""RT @jpmorgan: $JPM's Raghavan on what he looks for in banking talent and why #technology skills are a key differentiator. https://t.co/LlzAâ€_"")"
('2017-04-14 13:59:28'," 'RT @jpmorgan: $JPM\'s Petno: ""We are investing in our people technology &amp; capabilities to bring differential value to clients.â€ù https://t.câ€_')"
('2017-04-14 13:59:21'," ""RT @jpmorgan: $JPM's Raghavan on what he looks for in banking talent and why #technology skills are a key differentiator. https://t.co/LlzAâ€_"")"
('2017-04-14 13:59:16'," ""RT @jpmorgan: $JPM's Deasy tells @WSJ: Public cloud creates efficiencies and enables new #technology.  https://t.co/LHFlvRRlNI"")"
('2017-04-14 13:58:53', 'RT @jpmorgan: $JPM reports 1Q17 net income of $6.4B; $1.65 EPS on revenue of $25.6B; ROTCE of 13% https://t.co/fd6YicK60w')
('2017-04-14 13:56:21'," '$SPY ""This pig needs 2b killed by his inner circle"" $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDUâ€_ https://t.co/s1ZRxLf3le')"
('2017-04-14 13:55:12', '#maximize #brand #growth #opportunities with https://t.co/Yycairc0fy #advice #tips and #brands #expertise $jpm #CES2018 #AI')
('2017-04-14 13:51:49', 'RT @AmyDaniel212: #maximize #brand #growth #opportunities with https://t.co/vT9HmoiNbp #advice #tips and #brands #expertise $jpm #CES2018 #â€_')
('2017-04-14 13:50:38', 'RT @420WeedStreet: $SPY $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY $NVDA $PCLN #MOAâ€_')
