('2017-04-20 23:47:27', 'Insider Buying: JPMorgan Chase &amp; Co. $JPM Director Buys 11,500 Shares of Stock https://t.co/EBeR6WCAa8'),,,,,,,,,,,,,
('2017-04-20 23:45:43', 'Insider Buying: JPMorgan Chase &amp; Co. $JPM Director Buys 11,500 Shares of Stock https://t.co/JuIDzMjnGk'),,,,,,,,,,,,,
('2017-04-20 23:23:47', 'JPMorgan Chase &amp; Co. (NYSE:JPM) announces a quarterly dividend of \xa0$0.50 https://t.co/tcH8hfqLJv $JPM'),,,,,,,,,,,,,,
('2017-04-20 22:34:31', '$JPM Director disclosed purchase of 11.5K shares worth nearly $1 mln https://t.co/P9Yj9bpb3U'),,,,,,,,,,,,,,
('2017-04-20 22:25:03', 'RT @jpmorgan: $JPM Research Update: #Economist Michael Feroli on the outlook for the U.S. consumer. https://t.co/kkaV5vO4RU'),,,,,,,,,,,,,,
('2017-04-20 22:23:26', '@NotaBubble @yusschr @7wtc Goldman trade is over at these levels &amp; has been for a few months when it peaked at $250‰Û_ https://t.co/fr6hJUEcfK'),,,,,,,,,,,,,,
('2017-04-20 22:07:44', 'RT @jpmorgan: $JPM Research analyzed satellite #data of mall traffic. Here‰Ûªs what it shows about U.S. retail: https://t.co/7D08PxCsAv https‰Û_'),,,,,,,,,,,,,,
('2017-04-20 22:07:38', 'RT @jpmorgan: $JPM Research Update: #Economist Michael Feroli on the outlook for the U.S. consumer. https://t.co/kkaV5vO4RU'),,,,,,,,,,,,,,
('2017-04-20 22:02:18', 'RT @ACInvestorBlog: $JPM Insider buying https://t.co/RMSCUNSMlZ'),,,,,,,,,,,,,,
('2017-04-20 21:56:15'," ""Here's How Much Higher Interest Rates Will Help JPMorgan Chase This Year https://t.co/xfjbYOXVrE $JPM https://t.co/iRtym2rnQv"")",,,,,,,,,,,,,,
('2017-04-20 21:46:06', 'Market Commentary For Friday, Apr 21 $BAC, $AXP, $JCP, $GOOGL, $MAT, $AGQ, $FB, $M, $JPM, $DDS, $BA, $XRT, $JWN, $RL https://t.co/2E5uSq48DV')
('2017-04-20 21:44:18', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/1S31lVKDPg https://t.co/1ljMSL7dNE v‰Û_'),,,,,,,,,,,,,,
('2017-04-20 21:34:04', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/W317c8OjQ0'),,,,,,,,,,,,,,
('2017-04-20 21:33:57', 'Altavista Wealth Management Inc. Sells 340 Shares of JPMorgan Chase &amp; Co. $JPM https://t.co/VstbEXCLZj'),,,,,,,,,,,,,,
('2017-04-20 21:29:32', 'Keybank National Association OH Sells 4,274 Shares of JPMorgan Chase &amp; Co. $JPM https://t.co/9zdPyv1CLH'),,,,,,,,,,,,,
('2017-04-20 21:29:30', 'SSI Investment Management Inc. Has $1.196 Million Stake in JPMorgan Chase &amp; Co. $JPM https://t.co/TJj6Yn2oni'),,,,,,,,,,,,,,
('2017-04-20 21:25:07', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/pbgEaEmIEN‰Û_ https://t.co/K3IBtmV5SG'),,,,,,,,,,,,,,
('2017-04-20 21:25:07', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/IcNTpPNyGT‰Û_ https://t.co/9Wma5yC93K'),,,,,,,,,,,,,,
('2017-04-20 21:25:07', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/kjUToZuHuK‰Û_ https://t.co/pOoDNnHmIn'),,,,,,,,,,,,,,
('2017-04-20 21:25:07', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/mGGoNFy5R9‰Û_ https://t.co/6wQEz37yq4'),,,,,,,,,,,,,,
('2017-04-20 21:25:07', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/y8tvKoeHh2‰Û_ https://t.co/3o7lhnNeRO'),,,,,,,,,,,,,,
('2017-04-20 21:25:06', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/zf5B2AAGCW‰Û_ https://t.co/8WTTKihwhQ'),,,,,,,,,,,,,,
('2017-04-20 21:22:48', 'My polls once again prove to be unstoppable! \n$V $AXP $ma $bac $GS $JPM\nhttps://t.co/YpXOKWI2TZ'),,,,,,,,,,,,,,
('2017-04-20 21:07:06', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/R6aAYiX4hJ'),,,,,,,,,,,,,,
('2017-04-20 21:02:34'," ""#JPMorganChase Here's How Much Higher Interest Rates Will Help #organChase This Year. Read more: https://t.co/bUwcZWJWsc $JPM"")",,,,,,,,,,,,,,
('2017-04-20 21:01:13', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/bgWzyarAqu'),,,,,,,,,,,,,,
('2017-04-20 20:54:32', '#JPMorganChase organ to triple size of technology hub. Read more: https://t.co/5g5VclfD1w $JPM'),,,,,,,,,,,,,,
('2017-04-20 20:53:14', '$JPM:\n\nNew Insider Filing on\n\nDirector\n\nJAMES S CROWN:\n\nhttps://t.co/4Q52GNFT1R'),,,,,,,,,,,,,,
