('2017-04-25 15:59:37', 'JPMorgan Chase &amp; Co. $JPM Director Acquires $983020.00 in Stock https://t.co/zgkmqwtLIL')
('2017-04-25 15:50:36', 'Dow #Stocks Trend $MSFT $CAT $INTC $MRK $DD $BA $CSCO $AAPL $IBM $MCD $JPM $DIS $UNH $V $HD $TRV $MMM $AXP $GS  @ https://t.co/TvzJfd0RGT')
('2017-04-25 15:43:06', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/aBC2J0LUR1')
('2017-04-25 15:38:08', '$JPM Expect Volatility for Big-Bank Stocks https://t.co/SV3HQ7eFll')
('2017-04-25 15:35:21', 'Numbers mostly positive for large US banks https://t.co/zxXVNpTUrZ  $JPM $GS https://t.co/d5SdnSlBMB')
('2017-04-25 15:23:11', 'RT @GCuse1: @petenajarian @jimcramer BANKS BANKS BANKS $BAC $C $JPM $WFC')
('2017-04-25 15:20:11', '$JPM filed Form 424B2 with the SEC. Most mentioned words: notes index value supplement market')
('2017-04-25 15:20:10', '$JPM filed Form 424B2 with the SEC. Most mentioned words: notes index value supplement review')
('2017-04-25 15:20:04', 'RT @jpmorgan: Mapping developing areas can have a lasting impact. See how $JPM employees participate in the Missing Maps program. https://t‰Û_')
('2017-04-25 15:19:04', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/i7Qne8eChk')
('2017-04-25 15:18:47', '3% Dividend Yield Is Great But What Else Do You Need? https://t.co/xlTduu1jhO $CVX $GE $JNJ $JPM $KO $MRK $MSFT $ORC $PFE $PG $RSO $S $T')
('2017-04-25 15:16:02', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/eh0yyBCsnW')
('2017-04-25 15:16:02', 'JPMorgan Chase &amp; Co.  Upgrade by Guggenheim Securities (Ranked 7th) to Buy $JPM #JPM https://t.co/6n85zo60jU')
('2017-04-25 15:15:28', '$XLF $BAC $MS $JPM past week calling bullish into this week... all in progress https://t.co/aUqLgZjzfJ')
('2017-04-25 15:13:56', 'RT @SwatOptions: $JPM APR.28 2017 CALL 86 from past week at 0.57-0.58$ now at 3$...someone always knows https://t.co/LfcEYOwrGZ')
('2017-04-25 15:13:49', '$JPM APR.28 2017 CALL 86 from past week at 0.57-0.58$ now at 3$...someone always knows https://t.co/LfcEYOwrGZ')
('2017-04-25 15:08:05', 'RT @jpmorgan: Mapping developing areas can have a lasting impact. See how $JPM employees participate in the Missing Maps program. https://t‰Û_')
('2017-04-25 15:04:02', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/cXdQGfzXD8')
('2017-04-25 15:02:53', 'RT @Yourpersonaltr1: Only firm market call included in site/ timeline---&gt; \n12/4 $JPM EUROPEAN OW call \nhttps://t.co/ORV7uT62DL  \n$FEZ $FTSE‰Û_')
('2017-04-25 15:02:36', '$XLF trying to break a bull flag on the 15 min. May take $JPM $GS $BAC $C $WFC with it if XLF can break the 50 DMA and run. $JPM over 50 DMA')
('2017-04-25 14:58:09', 'RT @GCuse1: @petenajarian @jimcramer BANKS BANKS BANKS $BAC $C $JPM $WFC')
('2017-04-25 14:55:16', '$SNE #Sony Corp (SNE) Research Coverage Started at Sanford C. Bernstein ‰ÛÒ The Cerbat Gem https://t.co/XjKbM5gPMt $BBVA $SAN $JPM $MS $C $BAC')
('2017-04-25 14:55:01', '$AXP $JPM:\n\nA Trio Of Financial Upgrades: American Express JPMorgan And ‰Û_:\n\nhttps://t.co/hqLn9lr9DT')
('2017-04-25 14:51:47', '@petenajarian @jimcramer BANKS BANKS BANKS $BAC $C $JPM $WFC')
('2017-04-25 14:51:09', 'RT @theflynews: On The Fly: Top five analyst upgrades $BBY $JPM $AXP $WFC $CR $NCS $TEX https://t.co/RtdmLhtE5Q')
('2017-04-25 14:49:45', 'RT @thebrandindex: Worst sector for 10 years? $XLF Financials. If trumps agenda gets pushed through rates and net interest margins mean re‰Û_')
('2017-04-25 14:46:24', 'RT @thebrandindex: Worst sector for 10 years? $XLF Financials. If trumps agenda gets pushed through rates and net interest margins mean re‰Û_')
('2017-04-25 14:42:06', 'RT @thebrandindex: Worst sector for 10 years? $XLF Financials. If trumps agenda gets pushed through rates and net interest margins mean re‰Û_')
('2017-04-25 14:40:30', 'RT @thebrandindex: Worst sector for 10 years? $XLF Financials. If trumps agenda gets pushed through rates and net interest margins mean re‰Û_')
('2017-04-25 14:39:32', 'RT @OptionsMike: $JPM Upgraded to Buy @ Guggenheim')
('2017-04-25 14:39:10', 'RT @thebrandindex: Worst sector for 10 years? $XLF Financials. If trumps agenda gets pushed through rates and net interest margins mean re‰Û_')
('2017-04-25 14:36:43', 'RT @thebrandindex: Worst sector for 10 years? $XLF Financials. If trumps agenda gets pushed through rates and net interest margins mean re‰Û_')
('2017-04-25 14:35:03', 'On The Fly: Top five analyst upgrades $BBY $JPM $AXP $WFC $CR $NCS $TEX https://t.co/RtdmLhtE5Q')
('2017-04-25 14:35:00', '$jpm upgraded $nflx to $178 for a reason')
('2017-04-25 14:33:10', 'RT @thebrandindex: Worst sector for 10 years? $XLF Financials. If trumps agenda gets pushed through rates and net interest margins mean re‰Û_')
('2017-04-25 14:32:13', 'RT @thebrandindex: Worst sector for 10 years? $XLF Financials. If trumps agenda gets pushed through rates and net interest margins mean re‰Û_')
('2017-04-25 14:29:04', 'JPM Top news - Apr 25th 2017 $JPM http://https://t.co/97ztYSR1cU')
('2017-04-25 14:25:14', 'RT @GreenStocks2016: GoldenCross Breakout $RLGY $SPY $QQQ $INDU $IWM $AGG $BND $GLD $BTC $GOOG $IVV $VTI $AAPL $FB $dia $indu $c $usd $gs $‰Û_')
('2017-04-25 14:24:50', 'RT @GreenStocks2016: GoldenCross Breakout $RLGY $SPY $QQQ $INDU $IWM $AGG $BND $GLD $BTC $GOOG $IVV $VTI $AAPL $FB $dia $indu $c $usd $gs $‰Û_')
('2017-04-25 14:24:38', 'RT @GreenStocks2016: GoldenCross Breakout $RLGY $SPY $QQQ $INDU $IWM $AGG $BND $GLD $BTC $GOOG $IVV $VTI $AAPL $FB $dia $indu $c $usd $gs $‰Û_')
