('2017-04-26 23:55:56', 'Market Commentary For Thursday Apr 27 $JPM $ORLY $BA $WTW $NFLX $IRBT $DECK
('2017-04-26 23:40:59', 'RT @TalkMarkets: Each Day #JPMorgan Adds #Silver Bullion To Its Holdings $SLV Also $JPM https://t.co/O15xsaisfJ')
('2017-04-26 23:11:28', 'RT @IBMpolicy: A look at how the partnership btwn @IBM &amp; $JPM has positively impacted communities from Brazil to India to Detroit https://t‰Û_')
('2017-04-26 22:51:27', 'RT @Connor_Leonard: Reading three of the best shareholder letters out there today  $CSU $CACC $JPM https://t.co/M6CvuCaJNq')
('2017-04-26 22:12:27', 'RT @androsForm: $JPM [bta] SEP18 $92.5 Cs @ 1.56 | Averaged Down')
('2017-04-26 22:00:38', 'A look at how the partnership btwn @IBM &amp; $JPM has positively impacted communities from Brazil to India to Detroit https://t.co/M7xiwxTqe4.')
('2017-04-26 21:54:55', 'RT @Connor_Leonard: Reading three of the best shareholder letters out there today  $CSU $CACC $JPM https://t.co/M6CvuCaJNq')
('2017-04-26 21:50:00', '$JPM is in Double Bottom winning 75.00% in the past. https://t.co/hl1hubiRFE')
('2017-04-26 21:16:33', 'JPMorgan Chase &amp; Co.  Upgrade by Guggenheim Securities (Ranked 7th) to Buy $JPM #JPM https://t.co/6n85zo60jU')
('2017-04-26 21:16:18', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/Y4n5KF61kU')
('2017-04-26 21:14:08', 'JPMorgan Chase &amp; Co. $JPM is Davis Selected Advisers‰Ûª 2nd Largest Position https://t.co/o5zQXAYT9K')
('2017-04-26 21:14:07', 'JPMorgan Chase &amp; Co. $JPM is Davis Selected Advisers‰Ûª 2nd Largest Position https://t.co/Q04WRSZFlZ')
('2017-04-26 21:13:07', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/mTtP4h1T2b')
('2017-04-26 21:12:08', 'Empirical Finance LLC Acquires Shares of 1668 JPMorgan Chase &amp; Co. $JPM https://t.co/2zmw6TKj76')
('2017-04-26 21:12:08', 'Empirical Finance LLC Acquires Shares of 1668 JPMorgan Chase &amp; Co. $JPM https://t.co/1XyRph0WWL')
('2017-04-26 21:07:13', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/sUtm9Uf0QJ')
('2017-04-26 21:06:30', 'Massmutual Trust Co. FSB ADV Takes Position in JPMorgan Chase &amp; Co. $JPM https://t.co/8Cn6tWezZd')
('2017-04-26 21:06:29', 'Massmutual Trust Co. FSB ADV Takes Position in JPMorgan Chase &amp; Co. $JPM https://t.co/GkBJtzpuRO')
('2017-04-26 21:06:26', 'Iberiabank Corp Has $6.219 Million Position in JPMorgan Chase &amp; Co. $JPM https://t.co/sj3fBs8W2i')
('2017-04-26 21:06:25', 'Iberiabank Corp Has $6.219 Million Position in JPMorgan Chase &amp; Co. $JPM https://t.co/hV00sC72qh')
('2017-04-26 20:44:34', 'Is $JPM breaking out? Take a quick look at https://t.co/oqoi1ktjiU! #Apps #Travel')
('2017-04-26 20:44:11', 'RT @StockTwits: How 47 banks turned into 4. And in just 20 years.\n\nGreat share by: https://t.co/ZCNgzNLHSX\n\n$JPM $WFC $C $BAC https://t.co/‰Û_')
('2017-04-26 20:38:34', 'How does $JPM approach effective philanthropy? To start: work the problem. Check out its CR Report out today ‰ Õ‰Û_ https://t.co/qe2woZP467')
('2017-04-26 20:24:33', '$JPM Todays trading with JPMorgan Chase &amp; Co. for $88.43 on date April 26 2017. #Finance')
('2017-04-26 20:19:09', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/iYSFGh3XkG')
('2017-04-26 20:04:36', 'JPMorgan Chase &amp; Co. $JPM Upgraded by Guggenheim to ‰ÛÏBuy‰Ûù https://t.co/VbDqBstTvq')
('2017-04-26 20:03:12', 'JPMorgan Chase &amp; Co. $JPM Upgraded by Guggenheim to ‰ÛÏBuy‰Ûù https://t.co/KgEtFh7nzJ')
('2017-04-26 20:01:03', 'JPMorgan Chase &amp; Co. $JPM is Davis Selected Advisers‰Ûª 2nd Largest Position https://t.co/a9qIdmd0HA')
('2017-04-26 19:52:10', 'These 4 Banks Paid $33 Billion in Taxes Over the Past Year https://t.co/yTqbE7lUGJ $BAC $WFC $JPM')
('2017-04-26 19:48:24'," ""RT @jpmorgan: $JPM's CR initiatives take a data-driven strategic approach to creating lasting impact in our communities. https://t.co/Edyg‰Û_"")"
('2017-04-26 19:48:18', '$SPY $BAC $GS $JPM $AAPL $FB $AMZN Market moving lower based on the NAFTA chatter. I think the Trump admin is just testing the idea.')
('2017-04-26 19:44:58', 'RT @USChamber: $JPM released its annual Corporate Responsibility Report detailing its philanthropic model. Read more: https://t.co/C40fZYK‰Û_')
('2017-04-26 19:43:57', 'RT @USChamber: $JPM released its annual Corporate Responsibility Report detailing its philanthropic model. Read more: https://t.co/C40fZYK‰Û_')
('2017-04-26 19:39:28', 'RT @jpmorgan: Just released: the annual $JPM Corporate Responsibility Report. Read about a year of impact. https://t.co/xqDMtPWSTz')
('2017-04-26 19:37:06', '$JPM released its annual Corporate Responsibility Report detailing its philanthropic model. Read more:‰Û_ https://t.co/yYdACU0WqK')
('2017-04-26 19:31:40', '$PLSE $GE $JPM Among 5 Stocks Insiders Love https://t.co/TOh2Tvdo9m via @TheStreet')
('2017-04-26 19:22:43'," ""$JPM's CR initiatives take a data-driven strategic approach to creating lasting impact in our communities. https://t.co/TlLVq5bXjh"")"
('2017-04-26 19:15:02'," ""$JPM's CR initiatives take a data-driven strategic approach to creating lasting impact in our communities. https://t.co/EdygIFpt0n"")"
('2017-04-26 19:14:39', 'Very strong performance from $JPM this week. Added position from 1 week ago has cashed very nicely. Looking for $100 PT. #StockMarket')
('2017-04-26 19:11:52', '$JPM These 4 Banks Paid $33 Billion in Taxes Over the Past Year https://t.co/cj19Dx7NTi')
('2017-04-26 19:05:29', 'RT @androsForm: $JPM [bta] SEP18 $92.5 Cs @ 1.56 | Averaged Down')
('2017-04-26 19:05:27', 'RT @USChamber: $JPM reimagined its approach to philanthropy to create lasting results. Learn more in the firm‰Ûªs new CR Report: https://t.co‰Û_')
('2017-04-26 19:04:22', '$JPM reimagined its approach to philanthropy to create lasting results. Learn more in the firm‰Ûªs new CR Report:‰Û_ https://t.co/nNRnLlI6Kl')
('2017-04-26 18:55:48'," '@Connor_Leonard $JPM was particularly impressive (IMO). The chart on page 7 of the letter (""Client Franchises Built‰Û_ https://t.co/ZwcNykIFCT')"
('2017-04-26 18:55:16', 'RT @Connor_Leonard: Reading three of the best shareholder letters out there today  $CSU $CACC $JPM https://t.co/M6CvuCaJNq')
('2017-04-26 18:52:01', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/0UfjQH8EHQ')
('2017-04-26 18:48:56', 'Too Big to Fail by Andrew Ross Sorkin: https://t.co/XzYLkuL2ha $SPY $VIX $C $JPM $WFC $GS $AIG $CS $MS $FNMA $BAC')
('2017-04-26 18:46:06', '$JPM $BAC $WFC $C:\n\nThese 4 Banks Paid $33 Billion in Taxes Over the Past Year:\n\nhttps://t.co/G6p12tOB5z')
('2017-04-26 18:40:12', '$JPM [bta] SEP18 $92.5 Cs @ 1.56 | Averaged Down')
('2017-04-26 18:33:50', '$JPM 4-day prediction $88.80 Found Not Liable in Madoff Clients Case; from headlines at https://t.co/GHgDhWVZKy https://t.co/oZcU2dAfO9')
('2017-04-26 18:29:11', 'RT @jpmorgan: $JPM employees are helping to create more widely shared economic opportunities for women &amp; refugees this City Giving Day #CGD‰Û_')
('2017-04-26 18:23:41', '‰ÛÏCreating economic opportunity must be an imperative for all of us‰Ûù ‰ÛÒ Peter Scher Head of CR for $JPM. Read more: https://t.co/aUTfrsmwhS')
('2017-04-26 18:21:10', 'RT @jpmorgan: Just released: the annual $JPM Corporate Responsibility Report. Read about a year of impact. https://t.co/xqDMtPWSTz')
('2017-04-26 18:16:03', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/puRwQYQA4H')
('2017-04-26 18:14:00', 'REPORT: #Fed looks to restructure big bank supervision panel: https://t.co/cbirm900Jv $GS $BAC $C $WFC $JPM $MS‰Û_ https://t.co/zfN5Fn9T5C')
('2017-04-26 18:10:04', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/noxgJdCZkR')
('2017-04-26 18:06:47', 'The future of retail service. $JPM https://t.co/gvYisHBF2H')
('2017-04-26 18:05:25', 'RT @notyourcountry: Mnuchin Cohn Kushner - The Incredibly Evil Khazarian Mafia $GS $MS $JPM $BAC $WFC $C _Ù_©https://t.co/r7h9SVIudW @MartaK‰Û_')
('2017-04-26 18:03:55'," 'Took a ""lesser loss"" on $JPM weekly $89 calls on the ""bounce"" this morning. Now see that they went back to nearly even at HOD. #TradingLife')"
('2017-04-26 17:59:32', 'JPMorgan Chase &amp; Co. $JPM Shares Bought by Fiera Capital Corp https://t.co/7vR1LdVdFL')
