('2017-04-26 23:55:56', 'Market Commentary For Thursday Apr 27 $JPM $ORLY $BA $WTW $NFLX $IRBT $DECK
('2017-04-26 23:40:59', 'RT @TalkMarkets: Each Day #JPMorgan Adds #Silver Bullion To Its Holdings $SLV Also $JPM https://t.co/O15xsaisfJ')
('2017-04-26 23:11:28', 'RT @IBMpolicy: A look at how the partnership btwn @IBM &amp; $JPM has positively impacted communities from Brazil to India to Detroit https://tâ€_')
('2017-04-26 22:51:27', 'RT @Connor_Leonard: Reading three of the best shareholder letters out there today  $CSU $CACC $JPM https://t.co/M6CvuCaJNq')
('2017-04-26 22:12:27', 'RT @androsForm: $JPM [bta] SEP18 $92.5 Cs @ 1.56 | Averaged Down')
('2017-04-26 22:00:38', 'A look at how the partnership btwn @IBM &amp; $JPM has positively impacted communities from Brazil to India to Detroit https://t.co/M7xiwxTqe4.')
('2017-04-26 21:54:55', 'RT @Connor_Leonard: Reading three of the best shareholder letters out there today  $CSU $CACC $JPM https://t.co/M6CvuCaJNq')
('2017-04-26 21:50:00', '$JPM is in Double Bottom winning 75.00% in the past. https://t.co/hl1hubiRFE')
('2017-04-26 21:16:33', 'JPMorgan Chase &amp; Co.  Upgrade by Guggenheim Securities (Ranked 7th) to Buy $JPM #JPM https://t.co/6n85zo60jU')
('2017-04-26 21:16:18', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/Y4n5KF61kU')
('2017-04-26 21:14:08', 'JPMorgan Chase &amp; Co. $JPM is Davis Selected Advisersâ€™ 2nd Largest Position https://t.co/o5zQXAYT9K')
('2017-04-26 21:14:07', 'JPMorgan Chase &amp; Co. $JPM is Davis Selected Advisersâ€™ 2nd Largest Position https://t.co/Q04WRSZFlZ')
('2017-04-26 21:13:07', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/mTtP4h1T2b')
('2017-04-26 21:12:08', 'Empirical Finance LLC Acquires Shares of 1668 JPMorgan Chase &amp; Co. $JPM https://t.co/2zmw6TKj76')
('2017-04-26 21:12:08', 'Empirical Finance LLC Acquires Shares of 1668 JPMorgan Chase &amp; Co. $JPM https://t.co/1XyRph0WWL')
('2017-04-26 21:07:13', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/sUtm9Uf0QJ')
('2017-04-26 21:06:30', 'Massmutual Trust Co. FSB ADV Takes Position in JPMorgan Chase &amp; Co. $JPM https://t.co/8Cn6tWezZd')
('2017-04-26 21:06:29', 'Massmutual Trust Co. FSB ADV Takes Position in JPMorgan Chase &amp; Co. $JPM https://t.co/GkBJtzpuRO')
