('2017-04-19 15:59:08'," ""$NFLX below last week's low"")"
('2017-04-19 15:57:51', 'Those poor $NFLX call sweepers... fundamentals will begin to matter...')
('2017-04-19 15:56:19'," ""Why Netflix Amazon and even Facebook could flourish if Hollywood's writers strike [updated]:‰Û_ https://t.co/PcUfvEIt1E"")"
('2017-04-19 15:55:57', '$NFLX nlod')
('2017-04-19 15:55:30', 'NEW LOD $NFLX\nStarbucks is up today on the Unicorn Frap news. _Ù_ã')
('2017-04-19 15:55:18', '$NFLX fresh low.')
('2017-04-19 15:52:58'," ""@OptionsMike How do you know it's a buyer and not a seller? How do you know they aren't doing a buy write either?  $nflx"")"
('2017-04-19 15:49:55', '$NFLX big buyer of August 145C today... Some one bullish still')
('2017-04-19 15:49:06', 'Morning Coffee - CGWM (Feat. $GDXJ $BMO $BCB $PLI $TECK $WTE $WIN $AAPL
('2017-04-19 15:47:36'," 'Literally guy came up me at gym today saying ""Is it true that beyond $6B $NFLX spending on #content \'17 they spending $1B on mkting?!?""  LOL')"
('2017-04-19 15:45:47', '@wilkinson991 please press your $nflx long here. lol I hope your followers are short')
('2017-04-19 15:43:53', '$NFLX ...short games and some hefty churning are the game... #stocks #tradeideas')
('2017-04-19 15:43:04', 'RT @JustinPulitzer: $NFLX still insider y‰Ûªday range but below 50MA. Last spike was a lower high. needs to clear or risk shifts to lower ht‰Û_')
('2017-04-19 15:41:25', 'Has slaughtering cocky/comfy $GNC shorts freaked out others ? Or is it funds rolling-out cash incinerator $NFLX ??\n\n$FIT $RUN $TWTR $GPRO $P')
('2017-04-19 15:40:22', '$nflx is facing major flush down - tradingndown in deep green macro is the warning sign - if you are on margins you need to duck cover run')
('2017-04-19 15:40:18'," ""$nflx Testing yesterday's low (not the extreme momentarily flash Gordon low of $140) the other low that mere mortals were able to catch."")"
('2017-04-19 15:39:34', '$NFLX still insider y‰Ûªday range but below 50MA. Last spike was a lower high. needs to clear or risk shifts to lower https://t.co/fYnLfN8UdY')
('2017-04-19 15:38:39', '$NFLX ...nice solid dipper!!')
('2017-04-19 15:34:59', '$NFLX not a lot of room for upgrades... lots of room for downgrades\n\n$140 key level \n\nhttps://t.co/yxLXfx2Jer')
('2017-04-19 15:34:41', 'RT @SharePlanner: $NFLX all over the place since earnings were released.')
