('2017-04-25 15:59:57', '$nflx 3 month channel breakout https://t.co/W2pdTCfQsQ')
('2017-04-25 15:59:56', 'RT @sanglucci: $NFLX rager continues. better release the hot ish movies next month.')
('2017-04-25 15:59:53', 'RT @OMillionaires: Who remembers the move over $700(pre-split) last time $NFLX + China was front and center?')
('2017-04-25 15:59:52'," ""$NFLX rocking on news deal w China's #4 w shrimp extra spicy to go https://t.co/msdStpqKce"")"
('2017-04-25 15:59:43', '$nflx up 5.5%.')
('2017-04-25 15:59:32', 'Came so close to selling $NFLX last week I seriously dodged a bullet.')
('2017-04-25 15:59:29', 'Netflix breaks into China with licensing deal $NFLX $BIDU https://t.co/wP6dZRnRFv')
('2017-04-25 15:59:18', 'Who remembers the move over $700(pre-split) last time $NFLX + China was front and center?')
('2017-04-25 15:59:12', 'The Moon needs to look out $NFLX is comin')
('2017-04-25 15:59:05'," ""If you are short MOMO names you aren't doing well!  $NFLX and China foot in the door = don't short or go to psych ward"")"
('2017-04-25 15:59:03', '$NFLX rager continues. better release the hot ish movies next month.')
('2017-04-25 15:58:59', '$NFLX we taught the dumb midgets a lesson today..')
('2017-04-25 15:58:36'," ""Marc Faber: Trump tax bill won't go thru. Government will be shut down. US Markets utterly OVERBOUGHT $NFLX $FB $MSFT $AAPL $GOOG $TSLA $QQQ"")"
('2017-04-25 15:58:18', 'Epic short squeeze in $NFLX right now with big volume!!')
('2017-04-25 15:58:16', '$BIDU $NFLX:\n\nNetflix in Talks to License Shows in China to Baidu‰Ûªs IQiyi:\n\nhttps://t.co/QALhdOQNwX')
('2017-04-25 15:58:14', 'Netflix @ $151.18 + 7.49 flashing Buy signal at higher share price. Too rich for me though!‰Û_ https://t.co/iegFnZtrCb')
('2017-04-25 15:57:54', '@VictorZubarev 5MIN Boxer on $NFLX. WOW!!')
('2017-04-25 15:57:52', '$Nflx _Ùªè_Ùè__Ùªè_Ùè_')
('2017-04-25 15:57:29', '$NFLX rally proves again how little westerners understand the Chinese. watch all the latest movies on tons of free Chinese sites i.e 123kubo')
('2017-04-25 15:57:09', '@KRUZIN $NFLX SEXY Break through that ER SPIKE Double Top - 152 on Deck https://t.co/xozIwUGW92')
('2017-04-25 15:56:59', 'Overall gains over a two-month period. All long-term. \n+2.51% $GD\n+2.55% $ADBE\n+2.74% $AMD \n+3.10% $NFLX\n+6.04% $FB')
('2017-04-25 15:56:30', 'RT @stockmarkettv: Billionaire Reiterates Strong Buy $NFLX Netflix Shares Soar #investing https://t.co/MPXp4oGgOy')
('2017-04-25 15:56:16', 'Billionaire Reiterates Strong Buy $NFLX Netflix Shares Soar #investing https://t.co/MPXp4oGgOy')
('2017-04-25 15:56:14', '$nflx huge news this is... short term gains ok... but this is bigger... try getting monthlies/longs... upgrades coming in!')
('2017-04-25 15:56:07', 'Netflix to Enter China\n$NASDAQ $NFLX #ChineseMarket #videostreamingservice #globalexpansion... https://t.co/29EPQJuhOX')
('2017-04-25 15:56:06', '$NFLX monster')
('2017-04-25 15:56:03', '$NFLX beast mode')
('2017-04-25 15:55:57', 'Still bullish $nflx with an eoy target of 180')
('2017-04-25 15:55:29', '$NFLX pushes through all time highs on China content deal')
('2017-04-25 15:55:04'," ""$NFLX running from vwap like it's the plague... https://t.co/YHXvakSgbU"")"
('2017-04-25 15:55:01', 'Netflix inc. $NFLX is up 5.1% - https://t.co/MkyddG9TxI')
('2017-04-25 15:54:34'," ""Soon there will be NO ETF's or active managers cause ppl will think they ONLY need to buy #FANG + $AAPL $NFLX $AMZN‰Û_ https://t.co/E13nC6wmv8"")"
('2017-04-25 15:54:34', '$NFLX Squeezing... https://t.co/J6X3spvmI7')
('2017-04-25 15:54:31', 'Shorts! I will notify Houston that we are approaching Launch Mode! That will allow the shorts to grab their ankles carefully. $NFLX gonzo')
('2017-04-25 15:54:20', 'Straight from the business world: Bullish view on Netflix published about 6 month ago $NFLX is with more than 52% ‰Û_ https://t.co/tqeF85V3en')
('2017-04-25 15:54:20', '$nflx huge volume')
('2017-04-25 15:53:49', '$NFLX @ 175 area next week if all goes well and the fuel just keeps pumping the ask this week. Huge buy opp....')
('2017-04-25 15:53:45', '$NFLX nhod')
('2017-04-25 15:53:04', '$NFLX millions via calls and the shorts add fuel?? Boomer!!!')
('2017-04-25 15:53:01', '$NFLX 492% $BIDU 303%')
('2017-04-25 15:52:56'," ""RT @mckeevjm: @afortunetraders Yo I took your idea and took the 155's for next week ... Boom thanks again $NFLX https://t.co/iZ2Ga9dP2q"")"
('2017-04-25 15:52:50', 'Update on $NFLX calls https://t.co/O1e1A6IeZI')
('2017-04-25 15:51:46'," ""Here's a quick roundup of the news moving shares of $CAT $NFLX and $BIIB https://t.co/onp3nNDZlJ https://t.co/0tbBlGPKvY"")"
('2017-04-25 15:51:44', '$NFLX what a winner magnificent day')
('2017-04-25 15:51:12', 'RT @RedDogT3: $nflx nice momentum move from the morning call above that $148.28 pivot. Now $150.85. Trim and trail.')
('2017-04-25 15:50:22', 'Netflix Inc.: The stock is testing its highs. $NFLX https://t.co/Yh0Bb616iP https://t.co/Flrklg207j')
('2017-04-25 15:50:20', 'Bullish view on Netflix published about 6 month ago $NFLX is with more than 52% gain since via /r/business https://t.co/rcHWnfgod8 @financ‰Û_')
('2017-04-25 15:49:53', 'Netflix enters China... $NFLX #Netflix  #China #EmergingMarkets #streaming https://t.co/sj44rLV35E')
('2017-04-25 15:49:38', '$NFLX is facing insane accumulation as millions flow into the ask above 150..... #stocks #tradeideas #investing')
('2017-04-25 15:49:15', '$NFLX could become a Cash Magnet now that the skies have cleared. Calls are being bid up as we assess the strength for 160+. Hmm #investing')
('2017-04-25 15:48:47', 'RT @KIERMCD: $NFLX  big volume gap and go to All time new highs a $150 print is worth is notable https://t.co/Glph42DnGi')
('2017-04-25 15:48:23'," ""$NFLX move is a stupid move. It's the same game of chasing NHs. Won't last https://t.co/aXemE84WNe"")"
('2017-04-25 15:47:56'," '$NFLX scaled some.. ""yuge""')"
