('2017-04-17 15:59:15'," ""@ScottWapnerCNBC $AMZN crushes everyone they compete with.  $NFLX will be AMAZON'S next victim."")"
('2017-04-17 15:59:07'," ""Netflix earnings TODAY at 4 PM ET. Here's how it's doing\n\n1-month +1%\n3-month +10%\nYTD +18%\n1-year +31%\n\n$NFLX: https://t.co/gw8yO5QVD0"")"
('2017-04-17 15:58:58', '$NFLX needs to stop the sharing of logins and passwords. Losing millions of subs by this sharing (stealing). Who cannot afford $10 a mo?')
('2017-04-17 15:57:07'," ""$NFLX reports today it's up today soooo a loss will definitely sink this below $140"")"
('2017-04-17 15:56:26', '@HalftimeReport $NFLX buy sell or hold today?')
('2017-04-17 15:55:45', '$NFLX 147 short bias into earnings. A gift right here')
('2017-04-17 15:55:04', 'RT @FoxBusiness: #StockAlert - Stocks to watch today on #WallStreet $GM $NFLX https://t.co/6zBYEaEZ7t')
('2017-04-17 15:52:53'," ""'Netflix ( $NFLX)' SUDDEN RISE to 146.86 today +2.76%. StochRSI: 87.06 Trend: ++--+ https://t.co/dgSUwhraV6"")"
('2017-04-17 15:52:28', 'RT @market_blast: $NFLX could be a repeat of $LULU tmrw. too much hype way overpriced.')
('2017-04-17 15:52:22'," ""Chillin' (NFLX Earnings)  https://t.co/IIYl3ppYk2  $NFLX #earnings preview $NFLX $AMZN $GOOGL $FB"")"
('2017-04-17 15:52:21'," ""RT @Lewisisthename: What if $NFLX subscribers aren't growing as much as expected?  $NFLX stock goes straight to 125."")"
('2017-04-17 15:51:58', 'Tonight $NFLX ers tomorrow before open $GS $BAC and after close $IBM $IBKR. feeling how fast time flies by how quickly ers seasons come')
('2017-04-17 15:51:28', 'Easy money to be made here shorting $NFLX today.')
('2017-04-17 15:50:07', 'Noteworthy Monday Option Activity: $NFLX $PBYI $ALR #stockoptions https://t.co/QieT66BN9U')
('2017-04-17 15:48:06', '$NFLX The short interest being so low makes this a contrarian perfect short can always buy back switch long if it spikes on decent numbers.')
('2017-04-17 15:47:52', 'May post some #earnings charts near the close today in $NFLX $GS $BAC $GNC enjoy!')
('2017-04-17 15:47:29', 'Earnings Preview of $NFLX coming up now https://t.co/hyevCuJxDB')
('2017-04-17 15:47:27', '$Nflx looks like some people got the earnings info early!')
('2017-04-17 15:46:46'," ""$NFLX It looks like the shorts on here didn't learn from the last 2 earnings report. I'll be laughing at you guys again after the bell!"")"
