('2017-04-20 15:52:53', 'Traders Buy Shares of Netflix Inc. $NFLX on Weakness on Insider Selling https://t.co/k0Z8fZxhhB')
('2017-04-20 15:52:34', 'Netflix Inc. $NFLX PT Set at $165.00 by Raymond James Financial Inc. https://t.co/E74IqoiYTZ')
('2017-04-20 15:50:08', '$NFLX not really following the market feel like we get some news on this soon.')
('2017-04-20 15:46:22', '$NQ facing same wall of resistance as yesterday holding up well tho. Like $FB long &amp; iron condors in $NFLX.‰Û_ https://t.co/0W5IXBumyc')
('2017-04-20 15:45:04', '$NFLX first 142 then close around 143 by tomorrow https://t.co/AojYEoWTGF')
('2017-04-20 15:40:05', 'RT @FusionptCapital: $SPX $NFLX $TSLA To whoever bought at 2400 January 2016 vs March 2017....#tradingpsychology #trading #advisors https:‰Û_')
('2017-04-20 15:27:06', 'Hpoing for $nflx to reach 136 and close my short position. My margin account would then be 60k. #trading #OneStepAtATime')
('2017-04-20 15:13:10', 'How Will Netflix Counter Its Current Slowdown in Subscriber Growth? https://t.co/hHu0DrpqcF $NFLX $SPY $SPX-INDEX $CMCSA')
('2017-04-20 15:07:57', '$nflx still holding my short until zero')
('2017-04-20 15:07:08', 'https://t.co/upq7EcKJS9\n\nAre you Bullish or Bearish on #Netflix? Start #Trading $NFLX with #Bitcoin. 15:1 Leverage.‰Û_ https://t.co/B0TgT6w0gz')
('2017-04-20 15:04:37', '$NFLX Still think this is headed lower')
('2017-04-20 15:02:54', 'Credit Suisse Group AG Increases Netflix Inc. $NFLX Price Target to $149.00 https://t.co/Qnsq2YlNPc')
('2017-04-20 14:59:12', 'Jefferies Group Brokers Boost Earnings Estimates for Netflix Inc. $NFLX https://t.co/qsZZ1WmmgB')
('2017-04-20 14:55:49', 'Q3 2017 EPS Estimates for Netflix Inc. $NFLX Boosted by Dougherty &amp; Co https://t.co/TQRXBZO8Pz')
('2017-04-20 14:42:58', '$AMZN #Amazon: Hold Or Fold? A Closer Look https://t.co/AdjHUeAxKs $WMT $GOOG $GOOGL $SPY #stockmarket #stocks #investing $QQQ $NFLX $AAPL')
('2017-04-20 14:38:41', 'YouTube Now Worth Same As $NKE $GS But how does it compare in terms of $FB $NFLX $YHOO $TWTR $AMZN? | $GOOG $GOOGL | https://t.co/2dXDYwNs4E')
('2017-04-20 14:36:08', 'Cwm LLC Has $215000 Stake in Netflix Inc. $NFLX https://t.co/Sq3q36NeIh')
('2017-04-20 14:36:07', 'Cwm LLC Has $215000 Stake in Netflix Inc. $NFLX https://t.co/5u3fZtiCJ7')
('2017-04-20 14:35:40', 'Cwm LLC Has $215000 Stake in Netflix Inc. $NFLX https://t.co/sYv8MvdGQr')
('2017-04-20 14:34:30'," ""Yesterday I saw $NFLX was down so I bought a share b/c I knew investors were reacting to a short term issue....&amp; now it's back up!"")"
('2017-04-20 14:34:27', 'Cwm LLC Has $215000 Stake in Netflix Inc. $NFLX https://t.co/tltaxt9ikf #stocks')
('2017-04-20 14:34:22', 'RT @mb_willoughby: Trading $NFLX (Netflix) During Earnings Season - $1000 Days https://t.co/usw8QgHjln https://t.co/83cSco4AeD')
('2017-04-20 14:34:22', 'RT @kunal00: Trading $NFLX (Netflix) During Earnings Season - $1000 Days https://t.co/zFIuf47nbW https://t.co/WYPo7lJIak')
('2017-04-20 14:32:39', 'Netflix Inc. Forecasted to Earn Q2 2017 Earnings of $0.15 Per Share $NFLX https://t.co/EbMwbK6ZYD')
('2017-04-20 14:32:33', 'Looks like $BABA is gonig to test all time highs at $120. $SPY $NFLX')
('2017-04-20 14:32:10', 'Sold $NFLX Jun16 +115p/-140p/-145p/+165c Synthetic Strangle @ $8.29. Since this is tight 25% or 1x cr received mgmt is the goal.')
('2017-04-20 14:30:08', '$NFLX took profit. 139.70-141.20.Everything seems to be fading again. Hit &amp; run!')
('2017-04-20 14:28:48', 'The Dumb Reason Netflix Is Piling Up Debt https://t.co/Zx3Qr6RDHl $NFLX https://t.co/YVq8jW87FC')
('2017-04-20 14:27:05', '$NFLX:\n\nThe Dumb Reason Netflix Is Piling Up Debt:\n\nhttps://t.co/IFSLOXvp2a')
('2017-04-20 14:26:27', '$NFLX Right back to the underside of the neckline would think this is pretty tough resistance.')
('2017-04-20 14:26:27', 'NFLX Top news - Apr 20th 2017 $NFLX http://https://t.co/iNvHw7wQOr')
('2017-04-20 14:26:21', 'How to Trade Netflix Stock While It‰Ûªs on the Ropes (NFLX) https://t.co/qKk0hwXqKk  $NFLX #stock #trade #options')
('2017-04-20 14:24:01', 'I hope nobody got cut short handed this morning. $NFLX')
('2017-04-20 14:23:29', '$nflx hard stop $144')
('2017-04-20 14:21:03', 'What Are The 3 Most Unshortable Stocks? | $AAPL $GOOG $GOOGL $FB $AMZN $CI $ANTM $HUM $AET $NFLX $MSFT $YHOO | https://t.co/fObyq2A9rl')
('2017-04-20 14:19:08', '$VIX $TLT $GLD $SLV $IBB $SPY $IWM $QQQ $MSFT $AAPL $AMZN $FB $NFLX $TSLA $CAT $IBM $QCOM https://t.co/hXF8TA0bYj')
('2017-04-20 14:18:10', '$NFLX good support but I would wait for lower prices. imo https://t.co/dlpF2Kvz5v')
('2017-04-20 14:17:26', '$nflx weekly 143 calls flied frm 15c to 40 c in 15 minutes')
('2017-04-20 14:15:37', 'How to Trade Netflix Stock While It‰Ûªs on the Ropes (NFLX) https://t.co/s13XrFLPQP  $NFLX #stock #trade #options https://t.co/gpE8x3LbrP')
('2017-04-20 14:15:37', 'How to Trade Netflix Stock While It‰Ûªs on the Ropes (NFLX) https://t.co/jPbOXQK74F  $NFLX #stock #trade #options https://t.co/7xCpUKZ9XO')
('2017-04-20 14:13:23', 'RT @toolbox87: $NFLX is at the buy zone and I see it at $200.00 by the year end. Do you see the same?. $SPY $AAPL $BABA $BAC')
('2017-04-20 14:12:30', '$NFLX hammer candle +1.50$ wow')
('2017-04-20 14:12:09', 'RT @zerofiltertruth: @HotRodBlago30 Actually we positioned for $122ish but either way the endless #CashIncinerator $NFLX has clearly made s‰Û_')
('2017-04-20 14:11:43', 'RT @szaman: $nflx gave us decent short trades last couple of days. Will be on bounce watch tomorrow.')
('2017-04-20 14:10:02', '$nflx BOOM broke day high scalping calls(chk earlier premium note) https://t.co/9VJaYuQoPP')
('2017-04-20 14:09:27', 'We picked up few $nflx long 139.70. Working so far. https://t.co/2rubrs8rSv')
('2017-04-20 14:09:12', 'Is There Gender Pay Inequality? $NFLX $TWTR $YHOO $QQQ $DDD $NVDA $HPQ $HPE $GPRO $GOOG $AAPL https://t.co/HuOjixp5pa')
('2017-04-20 14:06:46', '@diggydoy @TraderDanny77 $nflx _Ù_¢_Ùªö')
('2017-04-20 14:06:38', 'RT @YahooFinance: LIVE: Will tech #stocks continue to lead the market? https://t.co/r76UJikgt1 $FB $AMZN $GOOGL $NFLX https://t.co/ej2Nw5nV‰Û_')
('2017-04-20 14:04:00', 'Bought $NFLX June 140 puts on this little spike up. It looks ready to burn https://t.co/6xhcebG95K')
('2017-04-20 14:03:56', 'The Options Edge by Michael Khouw: https://t.co/pBPwt6iYHn $SPY $AAPL $AMZN $NFLX $PCLN $VIX')
('2017-04-20 14:03:27', 'RT @tradewithjoe: Turning 1k into 100k - details here:\n\nhttps://t.co/upDpfLpMkH\n\n$SPY $IWM $VIX $UVXY $FB $AAPL $NFLX $BABA $PCLN $BBRY $GL‰Û_')
('2017-04-20 14:02:29', '$NFLX has been a great #stock to #trade the past couple days. #Earnings season provides many opportunities. Full Vi‰Û_ https://t.co/ajgGATl3NS')
('2017-04-20 14:00:03', 'Turning 1k into 100k - details here:\n\nhttps://t.co/upDpfLpMkH\n\n$SPY $IWM $VIX $UVXY $FB $AAPL $NFLX $BABA $PCLN $BBRY $GLD $GDX $GDXJ $USO')
('2017-04-20 13:59:37', '$NFLX trading at multiple of 324.30 vs 20.50 for $DIS. Not so sure difference in forward outlook between the two is that different.')
('2017-04-20 13:56:46', 'RT @EyesWideOpen_61: $amzn stick content deal with $eros in India is just the first. $aapl TV and $nflx hamstrung without local content tha‰Û_')
('2017-04-20 13:56:23', 'RT @YahooFinance: LIVE: Will tech #stocks continue to lead the market? https://t.co/r76UJikgt1 $FB $AMZN $GOOGL $NFLX https://t.co/ej2Nw5nV‰Û_')
('2017-04-20 13:56:11', 'RT @EyesWideOpen_61: 100 million Indians now have access to 4G streaming Expect that to grow 5X over next 5 years Who owns the content? $er‰Û_')
('2017-04-20 13:55:58', 'RT @EyesWideOpen_61: 24% of float short in $eros after streaming content deal announced with $amzn $nflx &amp; $aapl need local dialect Indian‰Û_')
