('2017-04-21 15:58:07', '7000 Shares in Netflix Inc. $NFLX Acquired by Grubman Wealth Management https://t.co/YoGltER43H')
('2017-04-21 15:56:08', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 11:55. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 15:55:19', 'Be the best version of yourself. https://t.co/SOm8rjvuBZ #leadership #startup #executive $hpe $hyg $nflx $vz $xom #CES2018 #AI')
('2017-04-21 15:43:46', '$QQQ The mysterious Gann Wheel Square of 9 #trading system https://t.co/UZwyE2y1IO #stocks #stockmarket #daytrading #investing $SPY $NFLX $F')
('2017-04-21 15:39:56', '$GNC: Kicking Hornets Nests https://t.co/g5lPy8mIIV #stockmarket #stocks #investing #daytrading #swingtrading #finance $AAPL $NFLX $SPY $QQQ')
('2017-04-21 15:39:53', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 11:39. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 15:38:14', 'Is Microsoft Still a Buy at All-Time Highs? $MSFT $AMZN $NFLX - https://t.co/0fEDRf46Or')
('2017-04-21 15:35:49', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 11:35. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 15:35:17', 'A great #business #idea is to use #twitter to #talk about your #brand https://t.co/kPboxxr4Ox $hyg $nflx $vz $xom #FridayBlogs #NYC')
('2017-04-21 15:34:38', 'Is Microsoft Still a Buy at All-Time Highs? $MSFT $AMZN $NFLX - https://t.co/XiHvmxyxnh')
('2017-04-21 15:33:36', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 11:33. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 15:29:33', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 11:29. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 15:27:22', 'Netflix Inc. $NFLX Rating Reiterated by BMO Capital Markets https://t.co/yb7dceobDP')
('2017-04-21 15:26:24', '$NFLX G/R')
('2017-04-21 15:26:03', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 11:25. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 15:25:52', 'Netflix Inc. $NFLX Rating Reiterated by BMO Capital Markets https://t.co/ZK3sVASIxL')
('2017-04-21 15:19:56', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 11:19. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 15:19:04'," ""Last month's was $NFLX first ever close &gt; $1000 (split adjusted)\n\nIf it ends the month here/lower it will have given back all of that gain"")"
('2017-04-21 15:18:02', 'if this is a $1000 failure on $NFLX (142.85 split adjusted) then there is potential to $900 which is $128.57')
('2017-04-21 15:17:56', '@IgorGolynkin (5) Fewer titles in the $NFLX library but higher capitalized costs. So content asset is growing due‰Û_ https://t.co/rpjAhNLClP')
('2017-04-21 15:16:37', '$DIS taking a serious look at $NFLX')
('2017-04-21 15:16:27', 'Netflix Inc. $NFLX PT Raised to $141.00 at Jefferies Group LLC https://t.co/SXM0hx90qu')
('2017-04-21 15:16:27', 'Netflix Inc. $NFLX PT Raised to $141.00 at Jefferies Group LLC https://t.co/iUyVZtTxQf')
('2017-04-21 15:15:48', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 11:15. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 15:15:25', 'A great #business #idea is to use #twitter to #talk about your #brand https://t.co/ahimqVpBnW $hyg $nflx $vz $xom #FridayBlogs #NYC')
('2017-04-21 15:14:49', 'Judge $NFLX Content Strategy On Cash Flow Not GAAP Results | This SA is a good follow-up read to my tweetstorm. https://t.co/NNJ8BXyZFT')
('2017-04-21 15:13:52', 'Loop Capital Increases Netflix Inc. $NFLX Price Target to $172.00 https://t.co/toqy8DB5gY')
('2017-04-21 15:13:02', 'Watch List #Stocks: NFLX BERY And BWA $NFLX $BERY $BWA https://t.co/Ifvi56q4sv')
('2017-04-21 15:11:39', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 11:11. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 15:10:17', 'A great #business #idea is to use #twitter to #talk about your #brand https://t.co/LxoFHkJeLf $hyg $nflx $vz $xom #FridayBlogs #NYC')
('2017-04-21 15:09:56', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 11:09. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 15:08:42', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 11:08. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 15:06:42', 'As our thanks you can also choose one of these free trading guides:\n\nhttps://t.co/02a8LnzvOL\n\n$STUDY $NFLX $PCLN $GS $FB $AAPL $NVDA $AMZN')
('2017-04-21 15:06:42', 'As our thanks you can also choose one of these free trading guides:\n\nhttps://t.co/p4kvcRzFM1\n\n$STUDY $NFLX $PCLN $GS $FB $AAPL $NVDA $AMZN')
('2017-04-21 15:06:42', 'As our thanks you can also choose one of these free trading guides:\n\nhttps://t.co/JTDXZ3j6tY\n\n$STUDY $NFLX $PCLN $GS $FB $AAPL $NVDA $AMZN')
('2017-04-21 15:06:42', 'As our thanks you can also choose one of these free trading guides:\n\nhttps://t.co/4mJzTXVIW7\n\n$STUDY $NFLX $PCLN $GS $FB $AAPL $NVDA $AMZN')
('2017-04-21 15:06:42', 'As our thanks you can also choose one of these free trading guides:\n\nhttps://t.co/M4atUQr2Zu\n\n$STUDY $NFLX $PCLN $GS $FB $AAPL $NVDA $AMZN')
('2017-04-21 15:05:18', 'A great #business #idea is to use #twitter to #talk about your #brand https://t.co/ddJt5HPd04 $hyg $nflx $vz $xom #FridayBlogs #NYC')
('2017-04-21 15:04:09', '$NFLX rolling over')
('2017-04-21 15:03:49', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 11:03. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 15:02:19'," ""#Netflix 's Next Billion $ Opportunity Not What You Might Think $DIS $NFLX #merchandise #streaming #Bingewatch   https://t.co/zbU6uMOSHA"")"
('2017-04-21 15:01:38', 'A great #business #idea is to use #twitter to #talk about your #brand https://t.co/GzN1ejwV4m $hyg $nflx $vz $xom #FridayBlogs #NYC')
('2017-04-21 14:59:34', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:59. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:57:43', 'Q3 2017 EPS Estimates for Netflix Inc. $NFLX Increased by Analyst https://t.co/PUabLJXixa')
('2017-04-21 14:57:32', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:57. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:57:04', 'Netflix Inc. $NFLX Price Target Raised to $73.00 https://t.co/Gm2cj5W88H')
('2017-04-21 14:56:16', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:56. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:55:11', 'A great #business #idea is to use #twitter to #talk about your #brand https://t.co/LoQC1JAu2l $hyg $nflx $vz $xom #FridayBlogs #NYC')
('2017-04-21 14:53:55', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:53. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:52:36', 'RT @SharePlanner: Watch List Stocks: $NFLX $BERY $BWA - #stocks #trading #wallstreet SharePlanner https://t.co/p6Gajj9iFv')
('2017-04-21 14:50:18', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:50. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:50:14', 'A great #business #idea is to use #twitter to #talk about your #brand https://t.co/NsIdKlatAs $hyg $nflx $vz $xom #FridayBlogs #NYC')
('2017-04-21 14:49:12', 'RT @ExactOptionPick: Free Daily Option Trade of the Day  \n\n https://t.co/w7oyBzw5w2 \n\n$NVDA $TSLA $M $V $LULU $AAPL $NFLX')
('2017-04-21 14:48:09', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:48. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:47:52', '$nflx nice bounce again we had this small call play note yestrday(premium)-short term play https://t.co/bwy8PNfR0Z')
('2017-04-21 14:45:18', 'A great #business #idea is to use #twitter to #talk about your #brand https://t.co/ibaiecPsRR $hyg $nflx $vz $xom #FridayBlogs #NYC')
('2017-04-21 14:44:55', 'Just bought shares 11 $AMZN 40 $NFLX 38 $AAPL 35 $FB 74 $S 1 $TSLA you guys better not let me down! lol.  Thank you @TDAmeritrade')
('2017-04-21 14:40:15', 'A great #business #idea is to use #twitter to #talk about your #brand https://t.co/fhMmdjxaHM $hyg $nflx $vz $xom #FridayBlogs #NYC')
('2017-04-21 14:39:35', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:39. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
