('2017-04-16 23:55:07', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/iA6xSQfPfUâ€_ https://t.co/51HE6ym9BE'),,,,,,,,,,,,
('2017-04-16 23:55:07', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/i9BeIQvSgBâ€_ https://t.co/AGFk2qYRMm'),,,,,,,,,,,,
('2017-04-16 23:55:07', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/T9IbOejgMIâ€_ https://t.co/SuJKtLKfE7'),,,,,,,,,,,,
('2017-04-16 23:55:06', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/b60a0pnswZâ€_ https://t.co/srpCAHlFeO'),,,,,,,,,,,,
('2017-04-16 23:55:06', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/8nMFOtuSMyâ€_ https://t.co/GIaEstqDTZ'),,,,,,,,,,,,
('2017-04-16 23:55:06', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/fIA49BzIlWâ€_ https://t.co/DvN05aWZDB'),,,,,,,,,,,,
('2017-04-16 23:43:10', '$JPM:\n\nPNC Financial: When Do You Buy This 6.2% Capital Return Bank?:\n\nhttps://t.co/KGemKSFr3B'),,,,,,,,,,,,
('2017-04-16 23:33:18', 'RT @KevinRKelly_: Yes @MariaBartiromo! Banks $JPM $C could not move the needle last week. TECH earnings will determine mkt move this week wâ€_'),,,,,,,,,,,,
('2017-04-16 23:29:07', 'Yes @MariaBartiromo! Banks $JPM $C could not move the needle last week. TECH earnings will determine mkt move thisâ€_ https://t.co/KUDuAS35k7'),,,,,,,,,,,,
('2017-04-16 23:26:39', 'RT @CBOE: Earnings: $JPM, $WFC, $C, $BAC, $NFLX. Plus $TSLA May puts @AngieMiles w @OptionPit #FrenchElection &amp; $VIX https://t.co/sPjAL5oqXâ€_'),,,,,,,,
('2017-04-16 23:22:41', 'RT @420WeedStreet: $SPY #MOAB  $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY $PCLN $SNAâ€_'),,,,,,,,,,,,
('2017-04-16 23:19:50', '$SPY #MOAB  $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY $PCLNâ€_ https://t.co/YC0PXVgenc'),,,,,,,,,,,,
('2017-04-16 22:49:26', 'RT @OphirGottlieb: $JPM For you option premium sellers, there is edge in JPM options https://t.co/SNHV8rFnuI https://t.co/Z4f1u5tWsG'),,,,,,,,,,,
('2017-04-16 22:46:31', 'RT @OphirGottlieb: $JPM For you option premium sellers, there is edge in JPM options https://t.co/SNHV8rFnuI https://t.co/Z4f1u5tWsG'),,,,,,,,,,,
('2017-04-16 22:40:13'," ""RT @ExactOptionPick: Don't miss our next FREE OPTION TRADE.  Sign up for our Daily Free Trades at https://t.co/78FVQDKYyw\n\n$NVDA $TSLA $GSâ€_"")",,,,,,,,,,,,
('2017-04-16 22:40:13'," ""RT @ExactOptionPick: Don't miss our next FREE OPTION TRADE.  Sign up for our Daily Free Trades at https://t.co/78FVQDKYyw\n\n$NVDA $TSLA $GSâ€_"")",,,,,,,,,,,,
('2017-04-16 22:39:38'," ""Don't miss our next FREE OPTION TRADE.  Sign up for our Daily Free Trades at https://t.co/78FVQDKYyw\n\n$NVDA $TSLA $GS $NFLX $JPM $GOOGL $FB"")",,,,,,,,,,,,
('2017-04-16 22:39:37', '$JPM For you option premium sellers, there is edge in JPM options https://t.co/SNHV8rFnuI https://t.co/Z4f1u5tWsG'),,,,,,,,,,,
('2017-04-16 21:05:04', '$JPM $C:\n\nWall Street To Corporate America: Thanks:\n\nhttps://t.co/7U1CLVmIyZ'),,,,,,,,,,,,
('2017-04-16 21:03:08', 'Benzinga: Wall Street To Corporate America: Thanks https://t.co/TSNAB04EHQ $C $JPM'),,,,,,,,,,,,
('2017-04-16 20:57:04', 'Wall Street To Corporate America: Thanks https://t.co/OmQYP0KCnY $C $JPM'),,,,,,,,,,,,
('2017-04-16 20:28:55', 'RT @TalkMarkets: Investors Fret As Politics Override Bank Earnings $BBY $TGT $WMT $AMZN $C $JPM $WFC Also $CMG $DIS $UAL $AAPL $COST https:â€_'),,,,,,,,,,,,
('2017-04-16 20:25:05', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/2Sz1Bv8fPTâ€_ https://t.co/9defneMTSf'),,,,,,,,,,,,
('2017-04-16 20:16:30', '#JPMorganChase Kirsten Sandberg joned as \nClient Advisor and Executive Director at J.P. Morg... Read more: https://t.co/d7Tc34hxy7 $JPM'),,,,,,,,,,,,
('2017-04-16 20:15:53'," ""#JPMorganChase Jamie Dimon sees more 'sausage-making' for Trump. Read more: https://t.co/eXlKAOr9d0 $JPM"")",,,,,,,,,,,,
('2017-04-16 20:15:16', '#JPMorganChase BRIEF-organ sees 2017 firmwide net interest income up about $4.5 bln. Read more: https://t.co/L6n0DZ4i3T $JPM'),,,,,,,,,,,,
('2017-04-16 20:14:39'," ""#JPMorganChase organ's profit beats estimates on increased trading. Read more: https://t.co/m63fmnICd2 $JPM"")",,,,,,,,,,,,
('2017-04-16 20:14:02', '#JPMorganChase organ tops forecasts on record investment bank revenues. Read more: https://t.co/LyJbr2sbDF $JPM'),,,,,,,,,,,,
('2017-04-16 20:13:25', '#JPMorganChase Here comes organ ... Read more: https://t.co/3iCiRdRsgI $JPM'),,,,,,,,,,,,
('2017-04-16 20:12:48', '#JPMorganChase MOVES-organ Securities lands $1 billion broker team from Morgan Stanley. Read more: https://t.co/tyQ1sdxLPa $JPM'),,,,,,,,,,,,
('2017-04-16 20:12:11', '#JPMorganChase organ profit rises 16.8 percent. Read more: https://t.co/uM8KILOopF $JPM'),,,,,,,,,,,,
('2017-04-16 20:11:34'," ""#JPMorganChase organ CEO Signals Patience As Trump's Growth Agenda Stalls. Read more: https://t.co/zv13P9TXF7 $JPM"")",,,,,,,,,,,,
('2017-04-16 20:10:57', '#JPMorganChase Jamie Dimon Is Too Big To Fail. Read more: https://t.co/cdGfOm3eET $JPM'),,,,,,,,,,,,
('2017-04-16 20:10:20'," ""#JPMorganChase JP Morgan's investment bank off to a record start. Read more: https://t.co/dsE3cBKKtp $JPM"")",,,,,,,,,,,,
('2017-04-16 20:09:42', '#JPMorganChase organ beats profit forecasts, helped by interest rates. Read more: https://t.co/BdcFQkVmN5 $JPM'),,,,,,,,,,,
('2017-04-16 20:09:05', '#JPMorganChase BRIEF-#organChase reports Q1 earnings of $1.65 per share. Read more: https://t.co/4NrFwo772r $JPM'),,,,,,,,,,,,
('2017-04-16 20:08:28', '#JPMorganChase organ Elect PLC : Replacement - Ten Largest Investments. Read more: https://t.co/QrRdVMvHnA $JPM'),,,,,,,,,,,,
('2017-04-16 20:07:51', '#JPMorganChase organ Delays Shifting Wealth Clients as US Mulls Rules . Read more: https://t.co/mFoZAQ8lBs $JPM'),,,,,,,,,,,,
('2017-04-16 20:07:14', '#JPMorganChase JP Morgan Chase first-quarter profit rises 17%. Read more: https://t.co/OVHKyhKHlT $JPM'),,,,,,,,,,,,
('2017-04-16 20:06:37'," ""#JPMorganChase organ surpasses analysts' estimates as trading revenue rises. Read more: https://t.co/Z474Shocmd $JPM"")",,,,,,,,,,,,
('2017-04-16 20:06:23', 'Investors Fret As Politics Override Bank Earnings $BBY $TGT $WMT $AMZN $C $JPM $WFC Also $CMG $DIS $UAL $AAPL $COST https://t.co/eVJV7XxUXz'),,,,,,,,,,,,
('2017-04-16 19:35:02', 'RT @420WeedStreet: $SPY Thanks 2 @POTUS  AMERICA IS BACK! $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIâ€_'),,,,,,,,,,,,
('2017-04-16 19:04:06', 'RT @420WeedStreet: $SPY Thanks 2 @POTUS  AMERICA IS BACK! $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIâ€_'),,,,,,,,,,,,
('2017-04-16 19:01:42', '$SPY Thanks 2 @POTUS  AMERICA IS BACK! $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJIâ€_ https://t.co/XvzYduAApM'),,,,,,,,,,,,
('2017-04-16 18:31:08', '$OZRK return on assets is higher than at most major banks $WFC $JPM $BAC $USB #stocks #investing #bankoftheozarks https://t.co/lq2QNAOCex'),,,,,,,,,,,,
('2017-04-16 18:29:58', 'Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6Sogpu https://t.co/AR6M9pHIB9'),,,,,,,,,,,,
('2017-04-16 18:07:15', 'RT @ExactOptionPick: FREE DAILY OPTION TRADE. Sign up for our DAILY FREE TRADE at https://t.co/78FVQDKYyw \n\n$JWM $UAL $MSFT $NFLX $BABA $AMâ€_'),,,,,,,,,,,,
('2017-04-16 18:07:15', 'RT @ExactOptionPick: FREE DAILY OPTION TRADE. Sign up for our DAILY FREE TRADE at https://t.co/78FVQDKYyw \n\n$JWM $UAL $MSFT $NFLX $BABA $AMâ€_'),,,,,,,,,,,,
('2017-04-16 18:07:06', 'FREE DAILY OPTION TRADE. Sign up for our DAILY FREE TRADE at https://t.co/78FVQDKYyw \n\n$JWM $UAL $MSFT $NFLX $BABA $AMZN $GOOGL $V $BAC $JPM'),,,,,,,,,,,,
('2017-04-16 17:18:58', 'Wells Fargo: Losing The Long Game https://t.co/a0CaqJ11zc $AXP $BAC $C $ISBC $JPM $WFC $BRK.A $BRK.B'),,,,,,,,,,,,
('2017-04-16 17:10:59'," 'RT @420WeedStreet: $SPY ""Enough is Enough"" This Piggy MUST B Slaughtered! $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX $SNAP $FBâ€_')",,,,,,,,,,,,
('2017-04-16 17:06:01'," '$SPY ""Enough is Enough"" This Piggy MUST B Slaughtered! $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX $SNAPâ€_ https://t.co/iOFEoA0Fpy')",,,,,,,,,,,,
('2017-04-16 16:59:58'," ""RT @SaraWalker_IG: Don't forget at @IGcom you can trade US bank earnings before the market opens $JPM and $C beat  $WFC mixed results httpsâ€_"")",,,,,,,,,,,,
('2017-04-16 16:57:46', 'Tomorrow starts a fresh start to trading and profits! $AAPL $BAC $JPM'),,,,,,,,,,,,
('2017-04-16 16:09:17', 'RT @420WeedStreet: $SPY Its almost 1am Monday in NK.. @POTUS TICK-TOCK #MOAB $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $C $JPM $NFLX $SNAP $FB $DJâ€_'),,,,,,,,,,,,
('2017-04-16 15:25:53', 'RT @420WeedStreet: $SPY Its almost 1am Monday in NK.. @POTUS TICK-TOCK #MOAB $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $C $JPM $NFLX $SNAP $FB $DJâ€_'),,,,,,,,,,,,
('2017-04-16 15:25:11', '$SPY Its almost 1am Monday in NK.. @POTUS TICK-TOCK #MOAB $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $C $JPM $NFLX $SNAPâ€_ https://t.co/rynw1d73aQ'),,,,,,,,,,,,
('2017-04-16 15:00:42', 'Wells Fargo: Losing The Long Game $WFC $JPM $BAC https://t.co/HCab28mkMF'),,,,,,,,,,,,
('2017-04-16 14:37:48', '$JPM negative weekly chart offsets better-than-expected earnings. Annual pivot:$84.24. https://t.co/e05EC2XrGj https://t.co/OZQljyRANH'),,,,,,,,,,,,
('2017-04-16 14:00:03'," ""Tickers mentioned in Sunday's linkfest; https://t.co/SAGq3I8lI8 $LQD $HYG $SPY $NSH $NS $AXP $JPM $CNY https://t.co/ZAfO3Zz7Zt"")",,,,,,,,,,,,
('2017-04-16 13:36:18', 'RT @LU_Rambler12: We learned from $JPM ER that rate hike already cushioned profits. The bank that benefits most from higher rates is $BAC.â€_'),,,,,,,,,,,,
('2017-04-16 13:20:18', 'Amex is losing ground to Chase https://t.co/H5mdjhgit8 $AXP $JPM #sitifatimah #malaysia #financialplanning'),,,,,,,,,,,,
('2017-04-16 13:16:03', 'Amex is losing ground to Chase https://t.co/yDlT5CWLWG $AXP $JPM'),,,,,,,,,,,,
('2017-04-16 12:42:31', 'RT @marketexclusive: Analyst Activity â€“ Keefe, Bruyette &amp; Woods Reiterates Market Perform on JPMorgan Chase &amp; Co. (NYSE:JPM) https://t.co/zâ€_'),,,,,,,,,,,
('2017-04-16 12:20:16', 'RT @_Trigglypuff_: Can You Invest With A Conscience? https://t.co/c45RD49qto $BA $CVX $CXW $GD $GEO $HD $JPM $KO $LMT $LOW $MA $MCD $MO $PEâ€_'),,,,,,,,,,,,
('2017-04-16 12:20:07', '1Q Earnings Preview: What Should Bank of America Shareholders Expect? https://t.co/VrrGjpfvZt $BAC $C $JPM https://t.co/oBq3OVRgdP'),,,,,,,,,,,,
('2017-04-16 12:06:12', 'Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6Sogpu https://t.co/DGFtZo7jy1'),,,,,,,,,,,,
('2017-04-16 11:42:51', 'FREE DAILY OPTION TRADE. Sign up for our DAILY FREE TRADE at https://t.co/78FVQDKYyw \n\n$LULU $UAL $WFM $NFLX $BABA $AMZN $GOOGL $C $BAC $JPM'),,,,,,,,,,,,
('2017-04-16 11:29:58', 'Can You Invest With A Conscience? https://t.co/c45RD49qto $BA $CVX $CXW $GD $GEO $HD $JPM $KO $LMT $LOW $MA $MCD $MO $PEP $RTN $SBUX $V'),,,,,,,,,,,,
('2017-04-16 10:51:23'," ""RT @Investing_Books: Liar's Poker by Michael Lewis: https://t.co/b8y3x8Enn1 $WFM $JPM $C $AAPL $TSLA $NFLX $SPY"")",,,,,,,,,,,,
('2017-04-16 10:48:55'," ""Liar's Poker by Michael Lewis: https://t.co/b8y3x8Enn1 $WFM $JPM $C $AAPL $TSLA $NFLX $SPY"")",,,,,,,,,,,,
('2017-04-16 10:12:10', '#JPMorganChase A Tale of Two Banks. Read more: https://t.co/6UBwWdMJg2 $JPM'),,,,,,,,,,,,
('2017-04-16 10:10:43'," ""RT @StockTwits: The 3 BEST performing stocks in the Dow this year\n\n$AAPL +29%\n$BA +25%\n$JPM +23%\n\nHere's the full list: https://t.co/R9bedaâ€_"")",,,,,,,,,,,,
('2017-04-16 09:41:14', 'Sciencast Management LP Has $441,000 Stake in JPMorgan Chase &amp; Co. $JPM https://t.co/WIYmTis6Fk'),,,,,,,,,,,
('2017-04-16 09:40:53', 'JPMorgan Chase &amp; Co. $JPM Stake Lowered by Glg LLC https://t.co/GMfAUOjruC'),,,,,,,,,,,,
('2017-04-16 09:39:28', 'STA Wealth Management LLC Acquires 976 Shares of JPMorgan Chase &amp; Co. $JPM https://t.co/u235aYg9U3'),,,,,,,,,,,,
('2017-04-16 09:39:14', 'JPMorgan Chase &amp; Co. $JPM is NWQ Investment Management Company LLCâ€™s 5th Largest Position https://t.co/ySLoX89wtt'),,,,,,,,,,,,
('2017-04-16 09:37:25', 'Sciencast Management LP Has $441,000 Stake in JPMorgan Chase &amp; Co. $JPM https://t.co/wZH9O5pSSY'),,,,,,,,,,,
('2017-04-16 08:22:03', 'RT @brianfires: Is there a short thesis!  Always looking for for a thesis! $vrx $agn $myl $mrk $twtr $ko $pep $brk $jpm $aapl $googl $tslaâ€_'),,,,,,,,,,,,
('2017-04-16 08:18:56', 'Is there a short thesis!  Always looking for for a thesis! $vrx $agn $myl $mrk $twtr $ko $pep $brk $jpm $aaplâ€_ https://t.co/MlyYQuln2j'),,,,,,,,,,,,
('2017-04-16 07:32:57'," ""RT @jpmorgan: $JPM's Annual Report and Proxy is now available. Read it here: https://t.co/ZMzq5hjZsb"")",,,,,,,,,,,,
('2017-04-16 07:32:43'," 'RT @jpmorgan: ""We are focused on leading the industry in our digital and mobile capabilities."" Read $JPM\'s Petno\'s annual letter. https://tâ€_')",,,,,,,,,,,,
('2017-04-16 07:32:34'," 'RT @jpmorgan: We are committed to staying ahead of the curve &amp; embracing technological changes."" More from Daniel Pinto on $JPM. https://t.â€_')",,,,,,,,,,,,
('2017-04-16 07:32:29'," 'RT @jpmorgan: $JPM\'s Petno: ""We are investing in our people", technology &amp; capabilities to bring differential value to clients.â€ù https://t.câ€_'),,,,,,,,,,,
('2017-04-16 07:32:27'," ""RT @jpmorgan: $JPM's Raghavan on what he looks for in banking talent and why #technology skills are a key differentiator. https://t.co/LlzAâ€_"")",,,,,,,,,,,,
('2017-04-16 07:32:25'," ""RT @jpmorgan: $JPM's Deasy tells @WSJ: Public cloud creates efficiencies and enables new #technology.  https://t.co/LHFlvRRlNI"")",,,,,,,,,,,,
