('2017-05-01 20:23:22', '$JPM Todays trading with JPMorgan Chase &amp; Co. for $87.06 on date May 01, 2017. #Finance')
('2017-05-01 20:22:11', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/WAKLtn55QV')
('2017-05-01 20:22:10', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/kGrlKs5TW2')
('2017-05-01 20:12:04', '$PLAY $JPM $UNP $AAL:\n\nTax Revenues Are Surging, So Brace For A Fed Surprise:\n\nhttps://t.co/fKY8PpHr5u')
('2017-05-01 20:00:56', '$JPM trades in 90 Cent range and closes higher by 6 cents - How abut that !! https://t.co/cNwdKzGBRj')
('2017-05-01 19:55:04', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/uNWgpapgqK')
('2017-05-01 19:55:04', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/8Ves5vt1EZ')
('2017-05-01 19:52:02', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/q3uxiI37F4')
('2017-05-01 19:49:24', 'RT @stockrow1: YTD performance of US bank stocks, $BAC is up 5.6%, outperforming $WFC $USB $C $JPM $GS #trading https://t.co/K0K8MN4c7A')
('2017-05-01 19:46:56', 'Unbeknownst to the public, bailout talks of #WallSt are circulating banking industry. Media currently being alerted.\n$GS $C  $MS $JPM #Bonds')
('2017-05-01 19:45:30', 'RT @maxjcm: $JPM exits #R3 to pursue Enterprise #Ethereum Alliance &amp; its own distributed ledger tech #DLT\n\n#blockchain \n\nhttps://t.co/BoFyl…')
('2017-05-01 19:40:47', "@newamericano Let's leave us ALL to more $GS scams like #Abacus. Where in hell is @POTUS @vp getting advice. OH yea… https://t.co/3uBtSvCz3l")
('2017-05-01 19:35:45', 'Trump talk of mega banks splitting is a monkey wrench. I doubt it. Any weakness is buy opp $BAC $C $JPM')
('2017-05-01 19:26:20', 'Concur: I actually think shareholders of $JPM and $BAC etc., might well do better if they were broken up, whether b… https://t.co/CsPNwxWQ8t')
('2017-05-01 19:25:03', "$JPM - Peter Kraus Ousted as AllianceBernstein's CEO -- 2nd Update https://t.co/4rDln3Rcn0")
('2017-05-01 19:22:36', 'President opens mouth, banks slip -- https://t.co/rfJk92jjOg $GS, $MS, $JPM, $C, $BAC, $CVR, $TSO, $VLO #banking #business')
('2017-05-01 19:15:17', "RT @StockTwits: Here's how JP Morgan traded after the 'Trump considering breaking up banks' news hit: https://t.co/WuFbm9Jbom\n\n$JPM")
('2017-05-01 19:14:19', "RT @StockTwits: Here's how JP Morgan traded after the 'Trump considering breaking up banks' news hit: https://t.co/WuFbm9Jbom\n\n$JPM")
('2017-05-01 19:12:04', '$JPM $BAC:\n\nCitadel’s Griffin says he fantasizes about bank breakups:\n\nhttps://t.co/O6ejv4AFn5')
('2017-05-01 19:11:00', 'RT @SeekingAlpha: Still Bullish Signs For Gold, Additionally Backed By JP Morgan https://t.co/nwL4WvSJEg $IAU $JPM $GLD')
('2017-05-01 19:10:09', '#JPMorganChase organ: Keep buying bank stocks because they are still cheap relative to market. Read more: https://t.co/bLKFjpYwrG $JPM')
('2017-05-01 19:08:55', "RT @StockTwits: Here's how JP Morgan traded after the 'Trump considering breaking up banks' news hit: https://t.co/WuFbm9Jbom\n\n$JPM")
('2017-05-01 19:06:58', 'RT @SeekingAlpha: Still Bullish Signs For Gold, Additionally Backed By JP Morgan https://t.co/nwL4WvSJEg $IAU $JPM $GLD')
('2017-05-01 19:06:18', 'Still Bullish Signs For Gold, Additionally Backed By JP Morgan https://t.co/S5rVOBVHID $IAU $JPM $GLD')
